Game,Date,Date,Date,Team A,Team A,Team A,Team B,Team B,Team B,
Number,Year,Month,Day,ID,Goals,Win,ID,Goals,Win,Ended In?
283,2015,11,19,8,3,0,23,4,1,0
284,2015,11,19,4,2,0,25,3,1,2
285,2015,11,19,20,1,0,26,2,1,0
286,2015,11,19,10,3,1,29,2,0,0
287,2015,11,20,27,2,1,6,1,0,2
288,2015,11,20,17,0,0,9,4,1,0
289,2015,11,20,7,1,0,5,2,1,1
290,2015,11,20,14,2,0,11,3,1,0
291,2015,11,20,18,1,0,12,5,1,0
292,2015,11,20,16,5,1,19,3,0,0
293,2015,11,21,27,0,0,3,2,1,0
294,2015,11,21,4,0,0,10,3,1,0
295,2015,11,21,20,5,1,13,4,0,1
296,2015,11,21,17,0,0,15,4,1,0
297,2015,11,21,22,0,0,21,4,1,0
298,2015,11,21,24,3,1,23,1,0,0
299,2015,11,21,11,4,1,25,3,0,1
300,2015,11,21,1,0,0,26,5,1,0
301,2015,11,21,7,3,0,28,6,1,0
302,2015,11,21,2,2,0,30,3,1,0
303,2015,11,21,8,3,0,29,7,1,0
304,2015,11,22,14,3,0,6,4,1,0
305,2015,11,22,24,5,1,9,3,0,0
306,2015,11,22,19,2,0,16,4,1,0
307,2015,11,22,18,3,1,28,2,0,0
308,2015,11,23,25,2,1,4,1,0,0
309,2015,11,23,14,3,1,13,1,0,0
310,2015,11,23,17,0,0,20,3,1,0
311,2015,11,23,6,2,0,22,3,1,1
312,2015,11,23,3,4,1,27,3,0,2
313,2015,11,23,8,4,1,30,1,0,0
314,2015,11,23,12,0,0,29,1,1,0
315,2015,11,24,5,3,0,1,5,1,0
316,2015,11,24,21,7,1,10,4,0,0
317,2015,11,25,1,2,0,2,4,1,0
318,2015,11,25,17,3,1,4,2,0,0
319,2015,11,25,12,1,0,6,4,1,0
320,2015,11,25,21,5,1,8,3,0,0
321,2015,11,25,3,3,1,11,2,0,1
322,2015,11,25,28,3,1,15,2,0,0
323,2015,11,25,9,2,1,18,1,0,0
324,2015,11,25,22,1,0,19,3,1,0
325,2015,11,25,16,5,1,20,1,0,0
326,2015,11,25,25,3,0,23,4,1,1
327,2015,11,25,7,5,1,24,2,0,0
328,2015,11,25,14,1,0,26,2,1,2
329,2015,11,25,30,3,0,29,5,1,0
330,2015,11,27,7,3,1,1,2,0,1
331,2015,11,27,5,1,0,2,2,1,1
332,2015,11,27,20,3,0,3,4,1,0
333,2015,11,27,6,1,0,4,4,1,0
334,2015,11,27,23,1,0,9,2,1,1
335,2015,11,27,28,2,0,10,3,1,2
336,2015,11,27,12,3,0,11,4,1,1
337,2015,11,27,19,2,0,13,3,1,2
338,2015,11,27,30,3,1,15,1,0,0
339,2015,11,27,16,3,1,18,2,0,2
340,2015,11,27,17,2,0,22,3,1,1
341,2015,11,27,26,2,0,29,4,1,0
342,2015,11,28,21,3,0,2,4,1,0
343,2015,11,28,30,3,0,8,5,1,0
344,2015,11,28,7,2,0,14,3,1,1
345,2015,11,28,10,4,1,15,3,0,1
346,2015,11,28,18,3,1,16,2,0,1
347,2015,11,28,4,4,1,17,1,0,0
348,2015,11,28,22,3,1,20,0,0,0
349,2015,11,28,12,3,1,23,2,0,2
350,2015,11,28,5,2,0,24,5,1,0
351,2015,11,28,9,1,0,25,3,1,0
