Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,7,1,2,3,2
2,2015,10,9,1,4,4,2
3,2015,10,10,1,6,5,2
4,2015,10,13,0,6,1,4
5,2015,10,15,0,6,0,3
6,2015,10,18,2,7,1,2
7,2015,10,19,1,9,4,0
8,2015,10,22,1,11,4,1
9,2015,10,24,4,12,2,3
10,2015,10,25,1,14,4,1
11,2015,10,30,1,16,3,1
12,2015,11,3,1,18,5,2
13,2015,11,6,1,20,2,1
14,2015,11,7,1,22,4,1
15,2015,11,10,1,24,3,0
16,2015,11,12,1,26,6,3
17,2015,11,14,5,28,2,1
18,2015,11,15,1,30,4,3
19,2015,11,19,0,30,1,2
20,2015,11,21,3,32,5,4
21,2015,11,23,1,34,3,0
22,2015,11,25,0,34,1,5
23,2015,11,27,0,34,3,4
24,2015,11,28,0,34,0,3
25,2015,11,30,1,36,4,3
26,2015,12,2,4,37,1,2
27,2015,12,3,0,37,1,2
28,2015,12,6,1,39,4,1
29,2015,12,9,0,39,1,2
30,2015,12,11,0,39,5,7
31,2015,12,12,2,40,4,5
32,2015,12,15,1,42,4,2
33,2015,12,17,0,42,2,5
34,2015,12,18,0,42,2,5
35,2015,12,20,0,42,3,7
36,2015,12,22,3,44,3,2
37,2015,12,28,0,44,3,5
38,2015,12,30,1,46,5,2
39,2016,1,2,0,46,0,3
40,2016,1,5,1,48,6,2
41,2016,1,9,2,49,3,4
42,2016,1,11,1,51,2,1
43,2016,1,14,0,51,1,3
44,2016,1,16,5,53,3,2
45,2016,1,17,0,53,2,5
46,2016,1,19,3,55,3,2
47,2016,1,22,1,57,4,1
48,2016,1,24,0,57,0,3
49,2016,1,25,1,59,6,3
50,2016,2,2,0,59,2,3
51,2016,2,4,1,61,4,2
52,2016,2,6,5,63,3,2
53,2016,2,8,1,65,2,1
54,2016,2,10,1,67,3,0
55,2016,2,12,2,68,4,5
56,2016,2,14,1,70,3,1
57,2016,2,17,0,70,3,5
58,2016,2,18,1,72,4,2
59,2016,2,21,3,74,1,0
60,2016,2,23,0,74,2,5
61,2016,2,25,1,76,2,1
62,2016,2,27,1,78,3,2
63,2016,2,29,1,80,2,1
64,2016,3,3,0,80,1,4
65,2016,3,4,1,82,3,2
66,2016,3,6,0,82,4,6
67,2016,3,8,1,84,4,2
68,2016,3,12,2,85,2,3
69,2016,3,13,0,85,3,5
70,2016,3,16,1,87,2,1
71,2016,3,17,2,88,3,4
72,2016,3,19,0,88,1,4
73,2016,3,21,1,90,4,2
74,2016,3,23,1,92,5,2
75,2016,3,26,1,94,5,2
76,2016,3,27,2,95,2,3
77,2016,3,31,,,,
78,2016,4,2,,,,
79,2016,4,4,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
