Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,8,0,0,2,6
2,2015,10,10,0,0,4,4
3,2015,10,12,0,0,5,6
4,2015,10,14,1,2,1,2
5,2015,10,17,1,4,0,3
6,2015,10,21,2,5,1,5
7,2015,10,23,1,7,4,3
8,2015,10,27,1,9,4,0
9,2015,10,30,1,11,2,1
10,2015,10,31,1,13,4,1
11,2015,11,3,0,13,3,5
12,2015,11,5,0,13,5,4
13,2015,11,7,0,13,2,4
14,2015,11,8,1,15,4,1
15,2015,11,12,0,15,3,3
16,2015,11,14,1,17,6,1
17,2015,11,17,0,17,2,5
18,2015,11,19,1,19,4,2
19,2015,11,21,1,21,1,0
20,2015,11,23,5,23,5,3
21,2015,11,25,3,25,3,2
22,2015,11,27,1,27,1,3
23,2015,12,2,4,28,3,3
24,2015,12,4,2,29,0,5
25,2015,12,5,1,31,4,0
26,2015,12,7,0,31,1,3
27,2015,12,9,1,33,1,1
28,2015,12,12,1,35,4,1
29,2015,12,14,2,36,1,3
30,2015,12,16,1,38,5,0
31,2015,12,18,1,40,4,2
32,2015,12,20,5,42,4,1
33,2015,12,22,0,42,2,2
34,2015,12,26,0,42,2,6
35,2015,12,27,0,42,3,3
36,2015,12,29,1,44,3,3
37,2016,1,1,0,44,3,5
38,2016,1,5,0,44,5,3
39,2016,1,8,1,46,0,1
40,2016,1,9,2,47,6,2
41,2016,1,11,0,47,3,2
42,2016,1,13,0,47,2,3
43,2016,1,15,1,49,1,1
44,2016,1,16,1,51,3,2
45,2016,1,19,1,53,2,1
46,2016,1,21,0,53,3,4
47,2016,1,23,5,55,4,2
48,2016,1,25,1,57,0,2
49,2016,1,26,0,57,6,6
50,2016,2,2,2,58,2,4
51,2016,2,4,5,60,4,2
52,2016,2,6,3,62,3,1
53,2016,2,9,0,62,2,9
54,2016,2,11,1,64,3,2
55,2016,2,13,1,66,4,2
56,2016,2,14,0,66,3,6
57,2016,2,16,3,68,3,1
58,2016,2,18,0,68,4,2
59,2016,2,20,1,70,1,3
60,2016,2,22,0,70,2,6
61,2016,2,24,1,72,2,1
62,2016,2,26,1,74,3,1
63,2016,2,28,0,74,2,4
64,2016,3,1,1,76,1,1
65,2016,3,3,1,78,3,2
66,2016,3,5,2,79,4,2
67,2016,3,7,3,81,4,4
68,2016,3,8,3,83,2,0
69,2016,3,10,2,84,3,3
70,2016,3,12,1,86,0,1
71,2016,3,15,0,86,0,3
72,2016,3,18,0,86,0,4
73,2016,3,19,0,86,1,2
74,2016,3,23,0,86,2,5
75,2016,3,24,0,86,1,4
76,2016,3,26,1,88,3,1
77,2016,3,29,,,,
78,2016,4,1,,,,
79,2016,4,3,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
