Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,7,1,2,5,1
2,2015,10,10,1,4,2,0
3,2015,10,13,1,6,5,0
4,2015,10,16,5,8,2,1
5,2015,10,17,0,8,3,6
6,2015,10,19,0,8,0,4
7,2015,10,22,0,8,1,4
8,2015,10,24,1,10,5,2
9,2015,10,28,0,10,1,2
10,2015,10,31,0,10,3,5
11,2015,11,1,1,12,4,3
12,2015,11,3,0,12,2,5
13,2015,11,5,1,14,5,2
14,2015,11,7,0,14,0,1
15,2015,11,10,0,14,2,4
16,2015,11,13,1,16,3,2
17,2015,11,14,3,18,2,1
18,2015,11,17,1,20,5,4
19,2015,11,19,3,22,1,0
20,2015,11,21,1,24,3,1
21,2015,11,22,1,26,5,3
22,2015,11,25,0,26,2,5
23,2015,11,28,1,28,5,2
24,2015,12,1,0,28,1,5
25,2015,12,4,0,28,0,1
26,2015,12,5,0,28,3,4
27,2015,12,8,0,28,2,4
28,2015,12,9,2,29,3,4
29,2015,12,12,0,29,0,2
30,2015,12,15,1,31,3,1
31,2015,12,17,3,33,5,4
32,2015,12,18,0,33,2,4
33,2015,12,20,2,34,3,4
34,2015,12,22,1,36,5,3
35,2015,12,28,0,36,3,6
36,2015,12,30,1,38,4,2
37,2016,1,2,0,38,1,4
38,2016,1,7,0,38,1,2
39,2016,1,9,1,40,7,0
40,2016,1,11,1,42,5,4
41,2016,1,12,1,44,4,1
42,2016,1,14,5,46,2,1
43,2016,1,16,3,48,4,3
44,2016,1,18,4,49,3,4
45,2016,1,21,1,51,3,1
46,2016,1,23,1,53,4,3
47,2016,1,24,2,54,2,3
48,2016,1,26,1,56,6,1
49,2016,2,2,0,56,2,3
50,2016,2,4,1,58,3,1
51,2016,2,6,0,58,2,6
52,2016,2,9,1,60,2,0
53,2016,2,11,4,61,5,6
54,2016,2,13,1,63,4,1
55,2016,2,16,1,65,4,2
56,2016,2,18,5,67,2,1
57,2016,2,19,0,67,2,5
58,2016,2,22,1,69,6,3
59,2016,2,24,4,70,3,4
60,2016,2,26,0,70,1,3
61,2016,2,28,1,72,4,1
62,2016,2,29,1,74,6,2
63,2016,3,3,1,76,3,2
64,2016,3,5,0,76,2,4
65,2016,3,7,3,78,2,1
66,2016,3,8,1,80,3,0
67,2016,3,10,0,80,0,3
68,2016,3,12,1,82,5,2
69,2016,3,15,1,84,3,2
70,2016,3,17,0,84,1,3
71,2016,3,19,1,86,4,1
72,2016,3,20,1,88,3,0
73,2016,3,22,0,88,0,1
74,2016,3,24,0,88,3,6
75,2016,3,26,0,88,2,4
76,2016,3,28,1,90,5,2
77,2016,3,29,,,,
78,2016,3,31,,,,
79,2016,4,2,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
