Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,8,1,2,3,1
2,2015,10,10,0,2,2,3
3,2015,10,13,1,4,4,3
4,2015,10,15,1,6,4,2
5,2015,10,16,1,8,4,3
6,2015,10,18,1,10,4,2
7,2015,10,20,0,10,0,3
8,2015,10,24,2,11,2,3
9,2015,10,27,1,13,2,0
10,2015,10,29,1,15,2,1
11,2015,10,31,3,17,3,2
12,2015,11,3,0,17,0,3
13,2015,11,4,3,19,6,5
14,2015,11,7,1,21,4,0
15,2015,11,10,1,23,2,0
16,2015,11,12,0,23,3,6
17,2015,11,14,0,23,2,4
18,2015,11,16,1,25,3,2
19,2015,11,17,0,25,1,3
20,2015,11,19,5,27,3,2
21,2015,11,21,2,28,3,4
22,2015,11,23,1,30,2,1
23,2015,11,25,2,31,3,4
24,2015,11,28,1,33,3,1
25,2015,12,1,0,33,1,3
26,2015,12,4,4,34,1,2
27,2015,12,5,0,34,1,4
28,2015,12,8,1,36,4,1
29,2015,12,10,0,36,2,4
30,2015,12,12,1,38,3,0
31,2015,12,13,0,38,1,3
32,2015,12,15,1,40,4,3
33,2015,12,17,1,42,2,1
34,2015,12,19,1,44,3,2
35,2015,12,21,0,44,3,4
36,2015,12,22,1,46,2,0
37,2015,12,26,5,48,3,2
38,2015,12,27,0,48,0,3
39,2015,12,29,3,50,4,3
40,2015,12,31,0,50,1,3
41,2016,1,2,0,50,1,4
42,2016,1,4,2,51,2,3
43,2016,1,6,2,52,3,4
44,2016,1,8,4,53,3,4
45,2016,1,9,5,55,2,1
46,2016,1,12,1,57,5,2
47,2016,1,14,0,57,1,4
48,2016,1,16,3,59,4,3
49,2016,1,18,1,61,5,2
50,2016,1,20,1,63,2,1
51,2016,1,22,4,64,1,2
52,2016,1,24,0,64,0,2
53,2016,2,2,1,66,1,0
54,2016,2,4,0,66,1,3
55,2016,2,6,1,68,4,1
56,2016,2,9,4,69,1,2
57,2016,2,12,1,71,5,3
58,2016,2,14,1,73,2,1
59,2016,2,16,3,75,2,1
60,2016,2,18,3,77,2,1
61,2016,2,20,1,79,6,4
62,2016,2,22,0,79,3,6
63,2016,2,25,0,79,1,2
64,2016,2,27,0,79,0,5
65,2016,2,28,1,81,5,2
66,2016,3,1,5,83,4,3
67,2016,3,6,1,85,4,2
68,2016,3,9,5,87,3,2
69,2016,3,11,1,89,5,2
70,2016,3,12,3,91,5,4
71,2016,3,14,0,91,4,7
72,2016,3,16,0,91,4,6
73,2016,3,19,1,93,3,0
74,2016,3,22,1,95,1,0
75,2016,3,25,1,97,4,0
76,2016,3,26,1,99,4,0
77,2016,3,29,,,,
78,2016,4,1,,,,
79,2016,4,3,,,,
80,2016,4,4,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
