Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,7,0,0,1,5
2,2015,10,9,0,0,1,4
3,2015,10,13,0,0,0,3
4,2015,10,16,3,2,2,1
5,2015,10,18,1,4,2,1
6,2015,10,22,1,6,4,1
7,2015,10,23,1,8,3,0
8,2015,10,25,1,10,3,2
9,2015,10,27,1,12,4,1
10,2015,10,31,3,14,4,3
11,2015,11,2,0,14,2,4
12,2015,11,3,1,16,3,0
13,2015,11,5,0,16,2,3
14,2015,11,7,1,18,4,1
15,2015,11,10,0,18,2,3
16,2015,11,12,1,20,2,1
17,2015,11,14,1,22,4,3
18,2015,11,17,5,24,3,2
19,2015,11,20,0,24,2,3
20,2015,11,22,0,24,3,4
21,2015,11,23,1,26,3,1
22,2015,11,25,4,27,1,2
23,2015,11,28,3,29,3,2
24,2015,12,1,3,31,2,1
25,2015,12,5,1,33,5,3
26,2015,12,6,1,35,3,1
27,2015,12,8,3,37,3,2
28,2015,12,11,5,39,3,2
29,2015,12,12,2,40,1,2
30,2015,12,14,0,40,3,5
31,2015,12,17,1,42,3,0
32,2015,12,19,0,42,0,5
33,2015,12,22,0,42,3,5
34,2015,12,26,3,44,4,3
35,2015,12,28,1,46,5,0
36,2015,12,29,1,48,5,2
37,2015,12,31,1,50,4,1
38,2016,1,2,1,52,2,1
39,2016,1,4,0,52,1,4
40,2016,1,7,1,54,2,1
41,2016,1,9,4,55,1,2
42,2016,1,11,1,57,4,2
43,2016,1,16,0,57,3,5
44,2016,1,17,1,59,3,2
45,2016,1,19,1,61,3,2
46,2016,1,21,0,61,0,3
47,2016,1,23,0,61,2,3
48,2016,1,24,3,63,3,2
49,2016,1,27,0,63,3,4
50,2016,2,2,1,65,6,2
51,2016,2,4,0,65,2,4
52,2016,2,9,1,67,9,2
53,2016,2,11,0,67,2,5
54,2016,2,12,3,69,5,4
55,2016,2,14,0,69,0,1
56,2016,2,16,0,69,1,3
57,2016,2,18,2,70,1,2
58,2016,2,20,3,72,2,1
59,2016,2,23,1,74,2,1
60,2016,2,25,1,76,2,1
61,2016,2,27,1,78,2,0
62,2016,2,28,0,78,2,4
63,2016,3,3,1,80,3,2
64,2016,3,5,0,80,2,3
65,2016,3,7,1,82,5,1
66,2016,3,9,3,84,4,3
67,2016,3,12,2,85,1,2
68,2016,3,14,1,87,5,0
69,2016,3,15,1,89,5,2
70,2016,3,17,3,91,4,3
71,2016,3,19,1,93,2,1
72,2016,3,21,0,93,2,5
73,2016,3,22,0,93,1,2
74,2016,3,24,0,93,1,4
75,2016,3,26,1,95,6,4
76,2016,3,28,0,95,2,5
77,2016,3,31,,,,
78,2016,4,2,,,,
79,2016,4,4,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
