Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,8,1,2,2,1
2,2015,10,10,1,4,2,0
3,2015,10,13,1,6,3,1
4,2015,10,15,0,6,3,4
5,2015,10,17,5,8,4,3
6,2015,10,20,5,10,5,4
7,2015,10,22,1,12,5,1
8,2015,10,24,2,13,1,2
9,2015,10,28,1,15,2,1
10,2015,10,31,2,16,3,4
11,2015,11,1,0,16,2,4
12,2015,11,5,1,18,3,2
13,2015,11,7,0,18,0,4
14,2015,11,10,1,20,7,5
15,2015,11,12,4,21,1,2
16,2015,11,14,1,23,7,0
17,2015,11,17,1,25,3,2
18,2015,11,20,0,25,0,4
19,2015,11,21,0,25,0,4
20,2015,11,23,0,25,0,3
21,2015,11,25,1,27,3,2
22,2015,11,27,2,28,2,3
23,2015,11,28,0,28,1,4
24,2015,12,1,1,30,5,2
25,2015,12,3,0,30,1,2
26,2015,12,5,2,31,4,5
27,2015,12,7,1,33,3,2
28,2015,12,8,0,33,1,4
29,2015,12,10,1,35,5,1
30,2015,12,12,0,35,2,3
31,2015,12,15,2,36,1,2
32,2015,12,17,0,36,1,2
33,2015,12,19,1,38,3,2
34,2015,12,21,1,40,5,1
35,2015,12,26,0,40,2,3
36,2015,12,28,1,42,5,3
37,2015,12,29,2,43,3,4
38,2015,12,31,0,43,1,5
39,2016,1,2,3,45,2,1
40,2016,1,5,0,45,1,4
41,2016,1,8,0,45,3,5
42,2016,1,9,0,45,0,4
43,2016,1,12,0,45,2,3
44,2016,1,14,2,46,4,5
45,2016,1,16,1,48,3,0
46,2016,1,19,0,48,1,4
47,2016,1,21,1,50,4,1
48,2016,1,23,1,52,4,1
49,2016,1,26,1,54,2,1
50,2016,1,27,1,56,2,1
51,2016,2,2,0,56,0,1
52,2016,2,4,0,56,3,6
53,2016,2,6,1,58,6,2
54,2016,2,9,0,58,3,5
55,2016,2,12,2,59,3,4
56,2016,2,13,1,61,5,0
57,2016,2,15,2,62,2,3
58,2016,2,18,1,64,2,0
59,2016,2,20,2,65,1,2
60,2016,2,22,5,67,2,1
61,2016,2,23,1,69,3,2
62,2016,2,25,1,71,3,1
63,2016,2,27,1,73,5,0
64,2016,3,1,1,75,5,3
65,2016,3,3,2,76,4,5
66,2016,3,5,1,78,5,2
67,2016,3,8,1,80,4,2
68,2016,3,9,2,81,2,3
69,2016,3,12,0,81,2,4
70,2016,3,14,1,83,3,2
71,2016,3,17,1,85,4,2
72,2016,3,18,0,85,1,4
73,2016,3,21,1,87,5,2
74,2016,3,24,5,89,3,2
75,2016,3,26,1,91,5,1
76,2016,3,28,0,91,3,4
77,2016,3,29,,,,
78,2016,3,31,,,,
79,2016,4,2,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
