Game,Date,Date ,Date,Converted,Net,,
Number,Year,Month,Day,Result,Points,GF,GA
1,2015,10,9,1,2,4,1
2,2015,10,10,1,4,2,1
3,2015,10,14,1,6,4,0
4,2015,10,15,0,6,3,4
5,2015,10,17,0,6,3,5
6,2015,10,20,2,7,2,3
7,2015,10,22,0,7,1,4
8,2015,10,24,1,9,4,1
9,2015,10,26,1,11,4,3
10,2015,10,27,0,11,0,6
11,2015,10,30,0,11,3,4
12,2015,11,5,1,13,4,2
13,2015,11,7,0,13,1,4
14,2015,11,9,3,15,4,3
15,2015,11,10,1,17,3,2
16,2015,11,12,1,19,4,1
17,2015,11,14,0,19,2,5
18,2015,11,16,0,19,2,5
19,2015,11,19,1,21,3,2
20,2015,11,21,0,21,2,3
21,2015,11,25,1,23,4,2
22,2015,11,27,3,25,2,1
23,2015,11,28,1,27,4,3
24,2015,12,1,0,27,2,5
25,2015,12,3,0,27,1,5
26,2015,12,4,0,27,2,5
27,2015,12,6,0,27,4,5
28,2015,12,8,0,27,1,4
29,2015,12,11,3,29,2,1
30,2015,12,12,2,30,4,5
31,2015,12,17,0,30,5,7
32,2015,12,19,1,32,1,0
33,2015,12,22,1,34,3,2
34,2015,12,26,2,35,3,4
35,2015,12,27,3,37,2,1
36,2015,12,29,0,37,5,7
37,2015,12,31,1,39,4,2
38,2016,1,2,4,40,3,4
39,2016,1,4,1,42,3,2
40,2016,1,7,1,44,2,1
41,2016,1,9,1,46,4,0
42,2016,1,12,3,48,4,3
43,2016,1,14,2,49,2,3
44,2016,1,16,0,49,0,2
45,2016,1,18,0,49,1,2
46,2016,1,21,0,49,1,3
47,2016,1,23,1,51,3,2
48,2016,1,25,5,53,2,1
49,2016,1,26,0,53,2,5
50,2016,2,2,0,53,2,6
51,2016,2,4,2,54,4,5
52,2016,2,5,0,54,2,5
53,2016,2,10,0,54,1,2
54,2016,2,12,1,56,4,1
55,2016,2,13,0,56,1,4
56,2016,2,15,1,58,6,2
57,2016,2,18,1,60,6,3
58,2016,2,20,0,60,4,6
59,2016,2,22,0,60,2,3
60,2016,2,23,0,60,1,2
61,2016,2,25,0,60,2,3
62,2016,2,27,0,60,2,4
63,2016,2,29,0,60,0,6
64,2016,3,3,0,60,1,5
65,2016,3,5,1,62,5,1
66,2016,3,7,0,62,1,3
67,2016,3,9,2,63,2,3
68,2016,3,11,1,65,4,1
69,2016,3,12,1,67,4,0
70,2016,3,17,1,69,3,1
71,2016,3,19,0,69,0,2
72,2016,3,20,0,69,0,3
73,2016,3,22,1,71,4,2
74,2016,3,24,1,73,3,1
75,2016,3,26,1,75,2,1
76,2016,3,28,0,75,2,5
77,2016,3,31,,,,
78,2016,4,2,,,,
79,2016,4,4,,,,
80,2016,4,5,,,,
81,2016,4,7,,,,
82,2016,4,9,,,,
