
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,7:00 PM,@,Buffalo Sabres,3,1,W,,1,0,0,W 1,,22,6,0,0,0,,27,0,1,3,0,19070,2:37,
2,2015-10-10,7:00 PM,@,Toronto Maple Leafs,5,4,W,SO,2,0,0,W 2,,33,10,3,6,0,,41,14,1,4,0,19187,2:53,
3,2015-10-11,7:00 PM,,Montreal Canadiens,1,3,L,,2,1,0,L 1,,21,18,0,4,1,,34,12,0,7,0,19177,2:40,
4,2015-10-14,7:00 PM,@,Columbus Blue Jackets,7,3,W,,3,1,0,W 1,,27,15,1,3,0,,41,11,1,4,0,13803,2:31,
5,2015-10-15,7:00 PM,@,Pittsburgh Penguins,0,2,L,,3,2,0,L 1,,22,11,0,3,0,,36,11,0,3,0,18486,2:29,
6,2015-10-17,7:00 PM,,Nashville Predators,3,4,L,SO,3,2,1,L 2,,41,28,0,2,0,,25,18,2,6,0,16895,2:50,
7,2015-10-22,7:30 PM,,New Jersey Devils,4,5,L,SO,3,2,2,L 3,,39,15,1,5,1,,32,28,2,4,0,16578,2:41,
8,2015-10-24,7:00 PM,,Arizona Coyotes,1,4,L,,3,3,2,L 4,,36,4,0,3,0,,26,6,0,2,0,17270,2:29,
9,2015-10-28,7:30 PM,,Calgary Flames,5,4,W,SO,4,3,2,W 1,,23,8,0,4,0,,38,8,1,4,0,16923,2:53,
10,2015-10-30,7:30 PM,@,Detroit Red Wings,3,1,W,,5,3,2,W 2,,35,10,0,4,0,,30,8,1,5,0,20027,2:36,
11,2015-10-31,7:00 PM,,Detroit Red Wings,3,5,L,,5,4,2,L 1,,36,30,0,3,0,,28,20,2,3,0,16964,2:40,
12,2015-11-03,7:30 PM,@,Montreal Canadiens,2,1,W,OT,6,4,2,W 1,,27,6,0,1,1,,37,2,1,3,0,21288,2:32,
