
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,8:30 PM,@,Dallas Stars,0,3,L,,0,1,0,L 1,,37,10,0,3,0,,24,6,2,5,0,18532,2:41,
2,2015-10-10,10:00 PM,@,Arizona Coyotes,1,2,L,,0,2,0,L 2,,28,12,0,4,0,,39,14,0,4,0,17125,2:30,
3,2015-10-13,7:00 PM,,Montreal Canadiens,2,3,L,,0,3,0,L 3,,33,2,0,2,0,,30,4,1,2,0,18626,2:23,
4,2015-10-15,7:00 PM,,Ottawa Senators,2,0,W,,1,3,0,W 1,,36,11,0,3,0,,22,11,0,3,0,18486,2:29,
5,2015-10-17,7:00 PM,,Toronto Maple Leafs,2,1,W,,2,3,0,W 2,,33,10,0,5,0,,27,10,0,4,0,18650,2:30,
6,2015-10-20,7:00 PM,,Florida Panthers,3,2,W,OT,3,3,0,W 3,,35,4,2,3,0,,33,6,0,2,0,18471,2:45,
7,2015-10-22,7:00 PM,,Dallas Stars,1,4,L,,3,4,0,L 1,,34,6,0,5,0,,23,23,1,3,0,18490,2:32,
8,2015-10-24,8:00 PM,@,Nashville Predators,2,1,W,OT,4,4,0,W 1,,25,6,0,3,0,,39,9,0,3,0,17163,2:29,
9,2015-10-28,8:00 PM,@,Washington Capitals,3,1,W,,5,4,0,W 2,,25,8,0,3,0,,34,8,0,3,0,18506,2:27,
10,2015-10-29,7:00 PM,,Buffalo Sabres,4,3,W,,6,4,0,W 3,,29,4,1,1,0,,53,2,0,2,0,18415,2:28,
11,2015-10-31,7:00 PM,@,Toronto Maple Leafs,4,0,W,,7,4,0,W 4,,32,10,1,3,1,,21,9,0,4,0,19197,2:30,
12,2015-11-04,10:00 PM,@,Vancouver Canucks,3,2,W,,8,4,0,W 5,,23,14,1,3,1,,20,12,0,4,0,18570,2:31,
13,2015-11-06,9:00 PM,@,Edmonton Oilers,2,1,W,,9,4,0,W 6,,33,4,1,4,0,,28,8,0,2,0,16839,2:33,
