
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,7:30 PM,@,Tampa Bay Lightning,2,3,L,OT,0,0,1,L 1,,25,6,1,3,0,,32,6,1,3,0,19092,2:34,
2,2015-10-10,7:00 PM,@,Florida Panthers,1,7,L,,0,1,1,L 2,,39,23,1,4,0,,30,17,3,7,0,19434,2:37,
3,2015-10-12,7:00 PM,,Florida Panthers,1,0,W,,1,1,1,W 1,,33,18,0,3,0,,31,12,0,6,0,19769,2:29,
4,2015-10-14,8:00 PM,,Chicago Blackhawks,3,0,W,,2,1,1,W 2,,29,10,1,6,0,,30,10,0,5,0,19779,2:25,
5,2015-10-20,7:30 PM,,Dallas Stars,1,2,L,,2,2,1,L 1,,35,10,0,4,0,,32,12,0,2,0,19077,2:35,
6,2015-10-21,8:00 PM,@,Boston Bruins,5,4,W,OT,3,2,1,W 1,,37,8,1,2,0,,30,19,1,3,1,17565,2:33,
7,2015-10-24,7:00 PM,,New York Rangers,3,2,W,SO,4,2,1,W 2,,48,6,0,2,0,,39,4,1,3,0,19805,2:52,
8,2015-10-27,7:00 PM,,Buffalo Sabres,3,4,L,OT,4,2,2,L 1,,33,4,0,2,0,,40,4,1,2,0,19432,2:37,
9,2015-10-29,7:00 PM,,New Jersey Devils,1,4,L,,4,3,2,L 2,,28,6,0,2,0,,33,4,2,5,0,19241,2:32,
10,2015-10-30,7:00 PM,@,Buffalo Sabres,1,3,L,,4,4,2,L 3,,28,31,0,4,0,,36,28,1,6,0,15962,2:37,
11,2015-11-02,10:00 PM,@,Vancouver Canucks,1,4,L,,4,5,2,L 4,,28,4,0,2,0,,34,6,0,1,0,18264,2:29,
12,2015-11-03,9:00 PM,@,Edmonton Oilers,2,4,L,,4,6,2,L 5,,22,10,0,2,0,,49,4,1,5,0,16839,2:28,
13,2015-11-05,9:00 PM,@,Calgary Flames,1,2,L,OT,4,6,3,L 6,,27,2,0,2,0,,30,4,0,2,0,19289,2:33,
