
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-26,7:00 PM,,Montreal Canadiens,3,1,W,,26,6,2,W 7,,33,11,0,2,0,,30,11,0,2,0,18506,2:31,
35,2015-12-28,7:00 PM,@,Buffalo Sabres,2,0,W,,27,6,2,W 8,,26,11,0,1,0,,31,7,0,3,0,19070,2:30,
36,2015-12-30,7:00 PM,,Buffalo Sabres,5,2,W,,28,6,2,W 9,,43,10,1,3,0,,27,10,0,4,0,18506,2:38,
37,2015-12-31,6:00 PM,@,Carolina Hurricanes,2,4,L,,28,7,2,L 1,,32,8,0,0,0,,37,2,0,3,0,14134,2:26,
38,2016-01-02,7:00 PM,@,Columbus Blue Jackets,4,5,L,SO,28,7,3,L 2,,33,6,2,6,0,,29,12,2,3,0,17170,2:48,
39,2016-01-05,7:00 PM,@,Boston Bruins,3,2,W,,29,7,3,W 1,,29,8,1,3,0,,27,6,1,4,0,17565,2:26,
40,2016-01-07,7:00 PM,@,New York Islanders,4,1,W,,30,7,3,W 2,,38,6,0,2,0,,35,6,0,2,0,14261,2:22,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-09,1:00 PM,@,New York Rangers,4,3,W,OT,31,7,3,W 3,,31,6,1,3,0,,26,6,0,3,0,18006,2:35,
42,2016-01-10,7:00 PM,,Ottawa Senators,7,1,W,,32,7,3,W 4,,36,10,2,3,0,,33,8,0,4,0,18506,2:32,
43,2016-01-14,7:00 PM,,Vancouver Canucks,4,1,W,,33,7,3,W 5,,40,8,0,2,0,,30,6,1,3,0,18605,2:23,
44,2016-01-16,7:00 PM,@,Buffalo Sabres,1,4,L,,33,8,3,L 1,,34,19,0,4,0,,29,17,1,5,1,19070,2:28,
45,2016-01-17,5:00 PM,,New York Rangers,5,2,W,,34,8,3,W 1,,24,8,2,4,0,,33,8,0,4,0,18506,2:39,
46,2016-01-19,7:00 PM,@,Columbus Blue Jackets,6,3,W,,35,8,3,W 2,,28,13,2,2,0,,35,11,1,3,0,12291,2:28,
47,2016-01-27,8:00 PM,,Philadelphia Flyers,3,4,L,OT,35,8,4,L 1,,30,12,0,2,0,,32,4,1,5,0,18506,2:38,
48,2016-02-02,7:30 PM,,Florida Panthers,2,5,L,,35,9,4,L 2,,38,8,0,8,0,,19,16,2,4,0,18506,2:35,
49,2016-02-04,7:30 PM,,New York Islanders,3,2,W,,36,9,4,W 1,,23,4,0,2,0,,26,4,0,2,0,18506,2:23,
50,2016-02-06,1:00 PM,@,New Jersey Devils,3,2,W,SO,37,9,4,W 2,,29,4,0,3,0,,24,6,1,2,0,16514,2:34,
51,2016-02-07,12:00 PM,,Philadelphia Flyers,3,2,W,,38,9,4,W 3,,30,8,0,2,0,,35,4,0,5,0,18506,2:36,
52,2016-02-09,8:00 PM,@,Nashville Predators,5,3,W,,39,9,4,W 4,,23,8,1,3,0,,26,6,1,6,0,17113,2:33,
53,2016-02-11,8:00 PM,@,Minnesota Wild,4,3,W,,40,9,4,W 5,,33,10,1,5,0,,36,10,1,5,0,19213,2:41,
54,2016-02-13,8:00 PM,@,Dallas Stars,3,4,L,,40,10,4,L 1,,23,6,1,3,0,,35,6,1,4,0,18532,2:24,
55,2016-02-16,7:00 PM,,Los Angeles Kings,3,1,W,,41,10,4,W 1,,32,11,0,5,0,,40,15,0,3,1,18506,2:32,
56,2016-02-18,7:00 PM,@,New York Islanders,3,2,W,OT,42,10,4,W 2,,35,8,1,5,0,,22,14,0,2,0,15795,2:44,
57,2016-02-20,7:00 PM,,New Jersey Devils,4,3,W,,43,10,4,W 3,,32,2,0,3,0,,24,4,0,1,0,18506,2:26,
58,2016-02-22,7:00 PM,,Arizona Coyotes,3,2,W,,44,10,4,W 4,,34,12,1,4,0,,27,8,0,6,0,18506,2:38,
59,2016-02-24,7:00 PM,,Montreal Canadiens,3,4,L,,44,11,4,L 1,,36,8,0,3,0,,34,8,1,3,0,18506,2:43,
60,2016-02-26,7:00 PM,,Minnesota Wild,3,2,W,,45,11,4,W 1,,27,6,1,1,0,,32,2,1,3,0,18605,2:21,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-28,12:30 PM,@,Chicago Blackhawks,2,3,L,,45,12,4,L 1,,30,10,2,5,0,,23,10,1,4,0,22218,2:24,
62,2016-03-01,7:30 PM,,Pittsburgh Penguins,3,2,W,,46,12,4,W 1,,37,8,1,3,0,,30,10,0,2,0,18506,2:30,
63,2016-03-02,7:00 PM,,Toronto Maple Leafs,3,2,W,,47,12,4,W 2,,23,10,1,4,0,,29,10,0,4,0,18506,2:32,
