
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-18,8:00 PM,@,Winnipeg Jets,2,5,L,,19,11,4,L 2,,28,8,1,2,0,,36,6,0,3,0,15294,2:25,
35,2015-12-20,7:00 PM,,Washington Capitals,3,7,L,,19,12,4,L 3,,36,10,1,5,0,,30,14,2,3,1,18006,2:31,
36,2015-12-22,7:00 PM,,Anaheim Ducks,3,2,W,OT,20,12,4,W 1,,22,18,1,5,0,,19,20,0,4,0,18006,2:38,
37,2015-12-28,8:00 PM,@,Nashville Predators,3,5,L,,20,13,4,L 1,,29,4,0,1,0,,35,2,2,2,0,17317,2:33,
38,2015-12-30,8:00 PM,@,Tampa Bay Lightning,5,2,W,,21,13,4,W 1,,26,10,0,3,0,,22,4,2,5,0,19092,2:31,
39,2016-01-02,7:00 PM,@,Florida Panthers,0,3,L,,21,14,4,L 1,,40,15,0,5,0,,20,17,1,4,0,20289,2:25,
40,2016-01-05,7:00 PM,,Dallas Stars,6,2,W,,22,14,4,W 1,,29,6,0,3,1,,23,6,0,3,0,18006,2:24,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-09,1:00 PM,,Washington Capitals,3,4,L,OT,22,14,5,L 1,,26,6,0,3,0,,31,6,1,3,0,18006,2:35,
42,2016-01-11,7:00 PM,,Boston Bruins,2,1,W,,23,14,5,W 1,,30,2,0,0,0,,33,0,0,1,0,18006,2:21,
43,2016-01-14,7:00 PM,@,New York Islanders,1,3,L,,23,15,5,L 1,,35,8,0,3,0,,32,8,1,2,0,15795,2:22,
44,2016-01-16,1:00 PM,@,Philadelphia Flyers,3,2,W,SO,24,15,5,W 1,,31,8,1,4,0,,36,10,1,3,0,19843,2:36,
45,2016-01-17,5:00 PM,@,Washington Capitals,2,5,L,,24,16,5,L 1,,33,8,0,4,0,,24,8,2,4,0,18506,2:39,
46,2016-01-19,7:00 PM,,Vancouver Canucks,3,2,W,OT,25,16,5,W 1,,49,2,0,1,0,,20,2,0,1,0,18006,2:31,
47,2016-01-22,7:00 PM,@,Carolina Hurricanes,4,1,W,,26,16,5,W 2,,32,2,0,1,0,,31,2,0,1,0,14102,2:20,
48,2016-01-24,3:00 PM,@,Ottawa Senators,0,3,L,,26,17,5,L 1,,35,4,0,3,0,,33,6,0,2,1,18940,2:20,
49,2016-01-25,7:30 PM,,Buffalo Sabres,6,3,W,,27,17,5,W 1,,33,2,1,4,0,,26,8,0,1,0,18006,2:30,
50,2016-02-02,7:00 PM,@,New Jersey Devils,2,3,L,,27,18,5,L 1,,33,4,0,4,0,,25,8,2,2,0,16514,2:29,
51,2016-02-04,7:00 PM,,Minnesota Wild,4,2,W,,28,18,5,W 1,,30,6,0,3,0,,18,6,1,3,0,18006,2:25,
52,2016-02-06,1:00 PM,@,Philadelphia Flyers,3,2,W,SO,29,18,5,W 2,,28,19,0,2,0,,28,29,1,4,0,19819,2:35,
