
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,7:00 PM,,Montreal Canadiens,1,3,L,,0,1,0,L 1,,37,4,1,3,0,,29,8,0,1,0,19241,2:36,
2,2015-10-09,7:30 PM,@,Detroit Red Wings,0,4,L,,0,2,0,L 2,,22,10,0,3,0,,22,6,1,4,0,20027,2:33,
3,2015-10-10,7:00 PM,,Ottawa Senators,4,5,L,SO,0,2,1,L 3,,41,14,1,4,0,,33,10,3,6,0,19187,2:53,
4,2015-10-16,7:00 PM,@,Columbus Blue Jackets,6,3,W,,1,2,1,W 1,,34,10,0,1,0,,27,4,1,4,0,13885,2:37,
5,2015-10-17,7:00 PM,@,Pittsburgh Penguins,1,2,L,,1,3,1,L 1,,27,10,0,4,0,,33,10,0,5,0,18650,2:30,
6,2015-10-21,7:00 PM,@,Buffalo Sabres,1,2,L,SO,1,3,2,L 2,,24,8,0,1,0,,35,2,0,4,0,17762,2:47,
7,2015-10-24,7:00 PM,@,Montreal Canadiens,3,5,L,,1,4,2,L 3,,52,10,0,5,0,,27,12,2,4,1,21288,2:43,
8,2015-10-26,7:30 PM,,Arizona Coyotes,3,4,L,,1,5,2,L 4,,27,10,0,2,0,,24,6,2,4,0,18944,2:48,
9,2015-10-30,7:00 PM,@,New York Rangers,1,3,L,,1,6,2,L 5,,25,6,0,0,0,,26,0,0,3,0,18006,2:30,
10,2015-10-31,7:00 PM,,Pittsburgh Penguins,0,4,L,,1,7,2,L 6,,21,9,0,4,0,,32,10,1,3,1,19197,2:30,
11,2015-11-02,7:30 PM,,Dallas Stars,4,1,W,,2,7,2,W 1,,26,2,2,5,0,,44,10,0,2,0,19087,2:51,
12,2015-11-04,7:00 PM,,Winnipeg Jets,2,4,L,,2,8,2,L 1,,26,2,1,3,0,,34,6,0,2,1,19113,2:32,
