
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-09,7:00 PM,,New York Rangers,2,4,L,,0,1,0,L 1,,33,6,1,5,0,,25,12,0,2,0,19027,2:31,
2,2015-10-10,7:00 PM,@,New York Rangers,2,5,L,,0,2,0,L 2,,39,6,1,5,0,,29,12,1,2,0,18006,2:33,
3,2015-10-12,3:00 PM,@,Buffalo Sabres,2,4,L,,0,3,0,L 3,,24,19,2,3,0,,33,11,3,7,0,18075,2:27,
4,2015-10-14,7:00 PM,,Ottawa Senators,3,7,L,,0,4,0,L 4,,41,11,1,4,0,,27,15,1,3,0,13803,2:31,
5,2015-10-16,7:00 PM,,Toronto Maple Leafs,3,6,L,,0,5,0,L 5,,27,4,1,4,0,,34,10,0,1,0,13885,2:37,
6,2015-10-17,8:30 PM,@,Chicago Blackhawks,1,4,L,,0,6,0,L 6,,23,19,0,2,0,,30,13,2,5,0,21563,2:19,
7,2015-10-20,7:00 PM,,New York Islanders,0,4,L,,0,7,0,L 7,,37,11,0,6,0,,29,21,0,1,0,14295,2:28,
8,2015-10-22,8:00 PM,@,Minnesota Wild,2,3,L,,0,8,0,L 8,,29,4,1,2,0,,23,4,1,2,0,18650,2:31,
9,2015-10-24,9:00 PM,@,Colorado Avalanche,4,3,W,,1,8,0,W 1,,36,17,1,5,0,,34,15,1,6,0,18007,2:30,
10,2015-10-27,7:00 PM,@,New Jersey Devils,3,1,W,,2,8,0,W 2,,14,10,0,3,0,,24,8,1,4,0,12847,2:17,
11,2015-10-30,7:00 PM,@,Washington Capitals,1,2,L,,2,9,0,L 1,,30,4,0,3,0,,28,6,0,2,0,18506,2:27,
12,2015-10-31,7:00 PM,,Winnipeg Jets,2,3,L,,2,10,0,L 2,,21,11,0,5,0,,27,15,1,3,0,12860,2:29,
13,2015-11-03,10:30 PM,@,San Jose Sharks,5,2,W,,3,10,0,W 1,,24,11,1,2,0,,43,9,0,4,0,15491,2:30,
