
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-19,1:00 PM,,Chicago Blackhawks,2,3,L,SO,14,16,4,L 1,,27,6,0,2,0,,28,4,1,3,0,18870,2:38,
35,2015-12-26,7:00 PM,@,Boston Bruins,6,3,W,,15,16,4,W 1,,29,6,0,3,0,,33,6,0,3,0,17565,2:27,
36,2015-12-28,7:00 PM,,Washington Capitals,0,2,L,,15,17,4,L 1,,31,7,0,3,0,,26,11,0,1,0,19070,2:30,
37,2015-12-30,7:00 PM,@,Washington Capitals,2,5,L,,15,18,4,L 2,,27,10,0,4,0,,43,10,1,3,0,18506,2:38,
38,2015-12-31,6:00 PM,,New York Islanders,1,2,L,,15,19,4,L 3,,43,4,1,4,0,,33,8,1,2,0,19070,2:27,
39,2016-01-02,1:00 PM,,Detroit Red Wings,3,4,L,,15,20,4,L 4,,35,4,2,5,0,,23,10,1,2,0,19070,2:28,
40,2016-01-05,7:00 PM,,Florida Panthers,1,5,L,,15,21,4,L 5,,32,4,1,5,0,,27,12,0,1,0,18560,2:27,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-08,8:30 PM,@,Chicago Blackhawks,1,3,L,,15,22,4,L 6,,29,4,0,1,0,,45,4,0,1,0,22142,2:28,
42,2016-01-10,3:00 PM,@,Winnipeg Jets,4,2,W,,16,22,4,W 1,,29,9,1,3,0,,44,11,1,2,0,15294,2:44,
43,2016-01-12,8:00 PM,@,Minnesota Wild,3,2,W,,17,22,4,W 2,,23,0,0,2,0,,30,4,0,1,1,19034,2:33,
44,2016-01-15,7:00 PM,,Boston Bruins,1,4,L,,17,23,4,L 1,,34,9,0,4,0,,31,13,0,2,0,18704,2:30,
45,2016-01-16,7:00 PM,,Washington Capitals,4,1,W,,18,23,4,W 1,,29,17,1,5,1,,34,19,0,4,0,19070,2:28,
46,2016-01-18,9:00 PM,@,Arizona Coyotes,2,1,W,,19,23,4,W 2,,28,35,2,3,0,,27,40,0,5,0,11134,2:32,
47,2016-01-20,10:00 PM,@,Colorado Avalanche,1,2,L,,19,24,4,L 1,,28,6,1,2,0,,35,4,0,3,0,13274,2:20,
48,2016-01-22,7:00 PM,,Detroit Red Wings,0,3,L,,19,25,4,L 2,,19,8,0,1,0,,45,2,0,4,0,18601,2:30,
49,2016-01-25,7:30 PM,@,New York Rangers,3,6,L,,19,26,4,L 3,,26,8,0,1,0,,33,2,1,4,0,18006,2:30,
50,2016-01-26,7:30 PM,@,Ottawa Senators,3,2,W,,20,26,4,W 1,,22,11,1,2,0,,36,11,0,2,0,16815,2:36,
51,2016-02-03,7:00 PM,@,Montreal Canadiens,4,2,W,,21,26,4,W 2,,32,2,1,3,0,,35,6,1,2,0,21288,2:31,
52,2016-02-04,7:00 PM,,Boston Bruins,2,3,L,SO,21,26,5,L 1,,28,8,0,3,0,,33,6,0,4,0,18845,2:39,
53,2016-02-06,7:00 PM,@,Boston Bruins,1,2,L,OT,21,26,6,L 2,,38,6,0,3,0,,38,8,0,2,0,17565,2:40,
54,2016-02-09,7:00 PM,,Florida Panthers,4,7,L,,21,27,6,L 3,,34,31,2,4,0,,35,37,0,1,0,18521,2:36,
55,2016-02-11,7:00 PM,@,Philadelphia Flyers,1,5,L,,21,28,6,L 4,,42,28,0,6,0,,28,25,0,3,0,19019,2:24,
56,2016-02-12,7:00 PM,,Montreal Canadiens,6,4,W,,22,28,6,W 1,,22,6,0,2,0,,30,16,2,3,0,18505,2:31,
57,2016-02-14,12:30 PM,,Colorado Avalanche,4,1,W,,23,28,6,W 2,,21,12,0,3,0,,35,6,0,6,0,19070,2:25,
58,2016-02-16,7:30 PM,@,Ottawa Senators,1,2,L,SO,23,28,7,L 1,,39,9,0,2,0,,26,9,0,2,0,15893,2:36,
59,2016-02-19,7:00 PM,@,Columbus Blue Jackets,4,0,W,,24,28,7,W 1,,35,16,1,5,1,,38,28,0,6,0,14923,2:27,
60,2016-02-21,12:30 PM,,Pittsburgh Penguins,3,4,L,,24,29,7,L 1,,27,8,2,3,0,,31,6,0,4,1,19070,2:36,
