
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-10,7:00 PM,,Philadelphia Flyers,7,1,W,,1,0,0,W 1,,30,17,3,7,0,,39,23,1,4,0,19434,2:37,
2,2015-10-12,7:00 PM,@,Philadelphia Flyers,0,1,L,,1,1,0,L 1,,31,12,0,6,0,,33,18,0,3,0,19769,2:29,
3,2015-10-13,7:00 PM,@,Carolina Hurricanes,4,1,W,,2,1,0,W 1,,30,8,0,3,0,,23,4,0,4,0,10901,2:14,
4,2015-10-15,7:30 PM,,Buffalo Sabres,3,2,W,,3,1,0,W 2,,29,12,2,5,0,,26,10,1,6,0,11616,2:36,
5,2015-10-17,7:00 PM,,Dallas Stars,2,4,L,,3,2,0,L 1,,26,6,0,1,0,,37,4,1,2,0,12834,2:30,
6,2015-10-20,7:00 PM,@,Pittsburgh Penguins,2,3,L,OT,3,2,1,L 2,,33,6,0,2,0,,35,4,2,3,0,18471,2:45,
7,2015-10-22,8:30 PM,@,Chicago Blackhawks,2,3,L,,3,3,1,L 3,,18,16,1,4,0,,27,8,2,8,0,21591,2:34,
8,2015-10-24,8:00 PM,@,Dallas Stars,6,2,W,,4,3,1,W 1,,30,15,0,2,0,,35,11,1,4,0,18532,2:34,
9,2015-10-27,7:30 PM,,Colorado Avalanche,4,1,W,,5,3,1,W 2,,28,10,3,3,1,,32,6,0,5,0,11694,2:26,
10,2015-10-30,7:30 PM,,Boston Bruins,1,3,L,,5,4,1,L 1,,32,6,1,6,0,,30,25,2,3,0,14112,2:30,
11,2015-10-31,7:00 PM,,Washington Capitals,1,2,L,OT,5,4,2,L 2,,27,4,0,3,0,,27,6,0,2,0,11207,2:34,
12,2015-11-04,10:30 PM,@,Anaheim Ducks,2,3,L,SO,5,4,3,L 3,,25,10,0,3,0,,39,6,1,5,0,15169,2:49,
13,2015-11-05,10:30 PM,@,San Jose Sharks,2,5,L,,5,5,3,L 4,,33,9,1,3,0,,32,11,0,2,0,15525,2:29,
