
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-09,7:30 PM,,Chicago Blackhawks,2,3,L,OT,0,0,1,L 1,,36,6,0,2,0,,35,2,1,3,1,15795,2:37,
2,2015-10-10,8:30 PM,@,Chicago Blackhawks,1,4,L,,0,1,1,L 2,,29,24,0,2,1,,34,4,1,7,0,21392,2:23,
3,2015-10-12,1:00 PM,,Winnipeg Jets,4,2,W,,1,1,1,W 1,,44,10,2,6,0,,24,16,1,3,0,11183,2:37,
4,2015-10-15,7:00 PM,,Nashville Predators,4,3,W,,2,1,1,W 2,,28,6,0,2,0,,47,6,0,2,0,10542,2:32,
5,2015-10-17,7:30 PM,,San Jose Sharks,6,3,W,,3,1,1,W 3,,34,2,1,3,0,,25,6,0,2,0,11577,2:37,
6,2015-10-20,7:00 PM,@,Columbus Blue Jackets,4,0,W,,4,1,1,W 4,,29,21,0,1,0,,37,11,0,6,0,14295,2:28,
7,2015-10-23,7:30 PM,,Boston Bruins,3,5,L,,4,2,1,L 1,,26,9,1,2,0,,26,9,0,3,0,13113,2:45,
8,2015-10-24,8:00 PM,@,St. Louis Blues,3,2,W,OT,5,2,1,W 1,,22,10,1,3,0,,40,6,0,5,0,19186,2:31,
9,2015-10-26,7:00 PM,,Calgary Flames,4,0,W,,6,2,1,W 2,,35,6,1,3,0,,29,16,0,3,0,11582,2:26,
10,2015-10-29,7:00 PM,,Carolina Hurricanes,2,3,L,OT,6,2,2,L 1,,19,4,1,2,0,,29,4,0,2,0,11494,2:31,
11,2015-10-31,1:00 PM,@,New Jersey Devils,2,3,L,SO,6,2,3,L 2,,26,8,1,2,1,,17,6,0,3,0,11605,2:30,
12,2015-11-01,7:30 PM,,Buffalo Sabres,1,2,L,,6,3,3,L 3,,30,0,0,0,0,,22,0,0,0,0,11278,2:18,
13,2015-11-03,7:00 PM,,New Jersey Devils,2,1,W,,7,3,3,W 1,,34,10,0,1,0,,24,4,1,5,0,12122,2:27,
