
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-26,7:00 PM,,Buffalo Sabres,3,6,L,,19,11,4,L 2,,33,6,0,3,0,,29,6,0,3,0,17565,2:27,
35,2015-12-27,5:00 PM,@,Ottawa Senators,1,3,L,,19,12,4,L 3,,39,19,0,2,0,,22,9,1,2,0,20061,2:25,
36,2015-12-29,7:00 PM,,Ottawa Senators,7,3,W,,20,12,4,W 1,,37,52,4,7,0,,32,58,0,4,0,17565,2:47,
37,2016-01-01,1:00 PM,,Montreal Canadiens,1,5,L,,20,13,4,L 1,,28,16,0,3,0,,30,14,0,4,0,32767,2:52,
38,2016-01-05,7:00 PM,,Washington Capitals,2,3,L,,20,14,4,L 2,,27,6,1,4,0,,29,8,1,3,0,17565,2:26,
39,2016-01-08,7:00 PM,@,New Jersey Devils,4,1,W,,21,14,4,W 1,,31,11,1,3,0,,20,13,0,2,0,16514,2:18,
40,2016-01-09,7:00 PM,@,Ottawa Senators,1,2,L,OT,21,14,5,L 1,,34,6,0,1,0,,40,4,0,2,0,19125,2:38,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-11,7:00 PM,@,New York Rangers,1,2,L,,21,15,5,L 2,,33,0,0,1,0,,30,2,0,0,0,18006,2:21,
42,2016-01-13,8:00 PM,@,Philadelphia Flyers,2,3,L,,21,16,5,L 3,,32,11,1,2,0,,21,9,0,3,0,19704,2:22,
43,2016-01-15,7:00 PM,@,Buffalo Sabres,4,1,W,,22,16,5,W 1,,31,13,0,2,0,,34,9,0,4,0,18704,2:30,
44,2016-01-16,7:00 PM,,Toronto Maple Leafs,3,2,W,,23,16,5,W 2,,45,17,0,1,0,,29,11,0,5,0,17565,2:41,
45,2016-01-19,7:30 PM,@,Montreal Canadiens,4,1,W,,24,16,5,W 3,,24,10,0,3,0,,39,6,0,5,0,21288,2:28,
46,2016-01-21,7:00 PM,,Vancouver Canucks,2,4,L,,24,17,5,L 1,,30,0,0,0,0,,27,0,0,0,0,17565,2:25,
47,2016-01-23,7:00 PM,,Columbus Blue Jackets,3,2,W,SO,25,17,5,W 1,,34,8,0,5,0,,33,8,0,4,0,17565,2:44,
48,2016-01-25,7:00 PM,@,Philadelphia Flyers,3,2,W,,26,17,5,W 2,,31,10,2,4,0,,36,8,1,4,0,19738,2:36,
49,2016-01-26,7:00 PM,,Anaheim Ducks,2,6,L,,26,18,5,L 1,,34,15,0,4,0,,39,15,1,4,0,17565,2:40,
50,2016-02-02,7:00 PM,,Toronto Maple Leafs,3,4,L,OT,26,18,6,L 2,,42,8,0,4,0,,35,8,1,3,0,17565,2:41,
51,2016-02-04,7:00 PM,@,Buffalo Sabres,3,2,W,SO,27,18,6,W 1,,33,6,0,4,0,,28,8,0,3,0,18845,2:39,
52,2016-02-06,7:00 PM,,Buffalo Sabres,2,1,W,OT,28,18,6,W 2,,38,8,0,2,0,,38,6,0,3,0,17565,2:40,
53,2016-02-09,7:00 PM,,Los Angeles Kings,2,9,L,,28,19,6,L 1,,37,16,1,3,0,,57,16,3,3,0,17565,2:35,
54,2016-02-11,8:00 PM,@,Winnipeg Jets,6,2,W,,29,19,6,W 1,,39,27,0,3,0,,36,23,1,5,0,15294,2:34,
55,2016-02-13,2:00 PM,@,Minnesota Wild,4,2,W,,30,19,6,W 2,,19,10,0,6,1,,33,12,0,5,0,19191,2:26,
56,2016-02-14,3:30 PM,@,Detroit Red Wings,5,6,L,,30,20,6,L 1,,22,12,0,2,1,,35,6,2,5,0,20027,2:33,
57,2016-02-16,7:00 PM,@,Columbus Blue Jackets,2,1,W,OT,31,20,6,W 1,,30,6,0,4,0,,29,8,0,3,0,13140,2:35,
58,2016-02-18,8:00 PM,@,Nashville Predators,0,2,L,,31,21,6,L 1,,29,4,0,4,0,,24,8,0,2,0,17113,2:35,
59,2016-02-20,8:00 PM,@,Dallas Stars,7,3,W,,32,21,6,W 1,,42,7,3,6,0,,29,17,0,1,0,18532,2:58,
60,2016-02-22,7:00 PM,,Columbus Blue Jackets,4,6,L,,32,22,6,L 1,,30,21,0,2,0,,35,9,2,3,0,17565,2:37,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-24,7:30 PM,,Pittsburgh Penguins,5,1,W,,33,22,6,W 1,,29,7,0,0,0,,42,5,0,1,0,17565,2:26,
62,2016-02-26,7:00 PM,@,Carolina Hurricanes,4,1,W,,34,22,6,W 2,,22,8,0,1,0,,40,4,1,3,0,17917,2:27,
63,2016-02-28,6:30 PM,,Tampa Bay Lightning,1,4,L,,34,23,6,L 1,,33,8,0,6,0,,30,14,2,3,0,17565,2:31,
64,2016-03-01,7:00 PM,,Calgary Flames,2,1,W,,35,23,6,W 1,,25,8,1,5,0,,25,8,0,4,0,17565,2:28,
65,2016-03-03,7:00 PM,,Chicago Blackhawks,4,2,W,,36,23,6,W 2,,25,4,1,2,0,,27,4,1,2,0,17565,2:25,
66,2016-03-05,7:00 PM,,Washington Capitals,1,2,L,OT,36,23,7,L 1,,34,13,0,5,0,,30,16,0,3,0,17565,2:40,
67,2016-03-07,7:30 PM,@,Florida Panthers,5,4,W,OT,37,23,7,W 1,,32,15,0,2,0,,51,23,1,4,0,19194,3:00,
68,2016-03-08,7:30 PM,@,Tampa Bay Lightning,1,0,W,OT,38,23,7,W 2,,33,10,0,0,0,,42,2,0,4,0,19092,2:26,
69,2016-03-10,7:00 PM,,Carolina Hurricanes,2,3,L,OT,38,23,8,L 1,,32,6,1,2,0,,28,4,1,3,0,17565,2:34,
70,2016-03-12,1:00 PM,,New York Islanders,3,1,W,,39,23,8,W 1,,31,2,1,1,0,,26,4,0,0,0,17565,2:27,
71,2016-03-15,10:00 PM,@,San Jose Sharks,2,3,L,,39,24,8,L 1,,23,8,0,1,1,,27,2,1,4,0,16624,2:30,
72,2016-03-18,10:00 PM,@,Anaheim Ducks,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-19,10:30 PM,@,Los Angeles Kings,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-23,8:00 PM,@,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-24,7:00 PM,,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-26,7:00 PM,@,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-29,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
78,2016-04-01,8:00 PM,@,St. Louis Blues,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-03,12:30 PM,@,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-05,7:00 PM,,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-07,7:00 PM,,Detroit Red Wings,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,12:30 PM,,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
