
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,8:00 PM,@,Nashville Predators,1,2,L,,0,1,0,L 1,,26,6,0,3,0,,25,6,1,3,0,17204,2:25,
2,2015-10-10,7:00 PM,,Detroit Red Wings,3,4,L,,0,2,0,L 2,,47,4,1,6,0,,19,14,0,1,0,18949,2:29,
3,2015-10-13,7:00 PM,,Florida Panthers,1,4,L,,0,3,0,L 3,,23,4,0,4,0,,30,8,0,3,0,10901,2:14,
4,2015-10-16,7:30 PM,@,Detroit Red Wings,5,3,W,,1,3,0,W 1,,36,4,1,3,0,,20,6,0,2,0,20027,2:22,
5,2015-10-17,7:00 PM,@,Washington Capitals,1,4,L,,1,4,0,L 1,,19,6,0,4,0,,34,10,2,2,0,18506,2:26,
6,2015-10-21,10:00 PM,@,Colorado Avalanche,1,0,W,OT,2,4,0,W 1,,19,8,0,5,0,,26,10,0,4,0,12826,2:24,
7,2015-10-23,10:30 PM,@,Los Angeles Kings,0,3,L,,2,5,0,L 1,,40,6,0,4,0,,28,10,1,2,0,18230,2:31,
8,2015-10-24,10:30 PM,@,San Jose Sharks,2,5,L,,2,6,0,L 2,,34,2,1,3,0,,21,6,0,1,0,15814,2:24,
9,2015-10-27,7:30 PM,@,Detroit Red Wings,3,1,W,,3,6,0,W 1,,21,6,0,3,0,,26,8,0,2,0,20027,2:19,
10,2015-10-29,7:00 PM,@,New York Islanders,3,2,W,OT,4,6,0,W 2,,29,4,0,2,0,,19,4,1,2,0,11494,2:31,
11,2015-10-30,7:00 PM,,Colorado Avalanche,3,2,W,,5,6,0,W 3,,26,6,1,4,0,,32,8,0,3,0,9345,2:22,
12,2015-11-01,5:00 PM,,Tampa Bay Lightning,3,4,L,,5,7,0,L 1,,35,8,1,2,0,,31,4,1,4,0,9081,2:23,
13,2015-11-06,7:00 PM,,Dallas Stars,1,4,L,,5,8,0,L 2,,31,2,0,0,0,,28,0,0,1,0,10188,2:32,
