
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-20,5:00 PM,,Ottawa Senators,5,2,W,,17,14,3,W 1,,35,27,2,3,0,,25,22,0,5,1,19092,2:32,
35,2015-12-22,7:30 PM,,Vancouver Canucks,1,2,L,,17,15,3,L 1,,27,11,1,10,0,,19,27,0,1,0,19092,2:30,
36,2015-12-26,7:00 PM,,Columbus Blue Jackets,5,2,W,,18,15,3,W 1,,25,13,3,8,0,,32,32,0,3,0,19092,2:38,
37,2015-12-28,7:30 PM,,Montreal Canadiens,3,4,L,SO,18,15,4,L 1,,39,2,1,3,0,,34,6,0,1,0,19092,3:00,
38,2015-12-30,8:00 PM,,New York Rangers,2,5,L,,18,16,4,L 2,,22,4,2,5,0,,26,10,0,3,0,19092,2:31,
39,2016-01-02,7:00 PM,,Minnesota Wild,3,2,W,SO,19,16,4,W 1,,30,6,0,1,0,,32,2,0,4,0,19092,2:45,
40,2016-01-05,9:00 PM,@,Calgary Flames,1,3,L,,19,17,4,L 1,,31,2,0,0,0,,24,0,0,1,0,18966,2:21,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-08,9:00 PM,@,Edmonton Oilers,3,2,W,,20,17,4,W 1,,26,6,0,3,0,,26,4,1,3,0,16839,2:32,
42,2016-01-09,10:00 PM,@,Vancouver Canucks,3,2,W,OT,21,17,4,W 2,,35,4,0,4,0,,23,8,1,2,0,18335,2:37,
43,2016-01-12,9:00 PM,@,Colorado Avalanche,4,0,W,,22,17,4,W 3,,38,4,0,4,0,,21,8,0,2,0,14227,2:18,
44,2016-01-15,7:30 PM,,Pittsburgh Penguins,5,4,W,OT,23,17,4,W 4,,25,8,2,5,0,,40,10,1,4,0,19092,2:42,
45,2016-01-17,5:00 PM,,Florida Panthers,3,1,W,,24,17,4,W 5,,32,15,0,2,0,,27,9,0,5,0,19092,2:24,
46,2016-01-19,7:30 PM,,Edmonton Oilers,6,4,W,,25,17,4,W 6,,31,10,0,2,1,,26,6,0,4,1,19092,2:31,
47,2016-01-21,7:30 PM,,Chicago Blackhawks,2,1,W,,26,17,4,W 7,,33,6,1,4,0,,18,6,0,3,0,19092,2:22,
48,2016-01-23,7:00 PM,@,Florida Panthers,2,5,L,,26,18,4,L 1,,40,6,1,5,0,,35,10,1,4,0,19626,2:30,
49,2016-01-27,7:00 PM,,Toronto Maple Leafs,1,0,W,,27,18,4,W 1,,29,8,1,6,0,,30,14,0,3,0,19092,2:30,
50,2016-02-03,8:00 PM,,Detroit Red Wings,3,1,W,,28,18,4,W 2,,23,8,2,3,0,,25,10,0,2,0,19092,2:26,
51,2016-02-05,7:30 PM,,Pittsburgh Penguins,6,3,W,,29,18,4,W 3,,29,6,1,2,1,,30,4,0,3,0,19092,2:38,
52,2016-02-08,7:30 PM,@,Ottawa Senators,1,5,L,,29,19,4,L 1,,32,19,0,3,0,,29,13,1,6,0,17078,2:25,
53,2016-02-09,7:30 PM,@,Montreal Canadiens,2,4,L,,29,20,4,L 2,,39,9,0,3,0,,27,11,0,2,0,21288,2:33,
54,2016-02-12,7:30 PM,,Nashville Predators,4,3,W,OT,30,20,4,W 1,,28,4,1,3,0,,30,4,0,2,0,19092,2:32,
55,2016-02-14,6:00 PM,,St. Louis Blues,1,2,L,,30,21,4,L 1,,38,11,0,3,0,,21,11,0,3,0,19092,2:31,
56,2016-02-16,7:30 PM,,San Jose Sharks,2,4,L,,30,22,4,L 2,,30,16,0,2,0,,31,4,0,3,0,19092,2:22,
57,2016-02-18,7:30 PM,,Winnipeg Jets,6,5,W,SO,31,22,4,W 1,,26,17,0,5,0,,41,17,2,4,1,19092,2:47,
58,2016-02-20,12:30 PM,@,Pittsburgh Penguins,4,2,W,,32,22,4,W 2,,20,14,0,5,0,,39,16,0,4,1,18643,2:34,
59,2016-02-21,7:00 PM,@,Carolina Hurricanes,4,2,W,,33,22,4,W 3,,18,6,1,4,0,,31,10,0,2,1,10422,2:20,
60,2016-02-23,7:30 PM,,Arizona Coyotes,2,1,W,,34,22,4,W 4,,36,6,0,2,1,,30,6,0,2,0,19092,2:37,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-26,7:00 PM,@,New Jersey Devils,4,0,W,,35,22,4,W 5,,36,4,0,6,0,,21,24,0,1,0,15968,2:33,
62,2016-02-28,6:30 PM,@,Boston Bruins,4,1,W,,36,22,4,W 6,,30,14,2,3,0,,33,8,0,6,0,17565,2:31,
63,2016-02-29,7:30 PM,@,Toronto Maple Leafs,2,1,W,,37,22,4,W 7,,28,11,0,1,0,,32,9,0,2,0,18933,2:28,
64,2016-03-03,7:30 PM,@,Ottawa Senators,4,1,W,,38,22,4,W 8,,29,10,0,1,0,,34,4,0,4,0,17943,2:27,
65,2016-03-05,7:00 PM,,Carolina Hurricanes,4,3,W,OT,39,22,4,W 9,,30,6,0,4,0,,27,8,1,3,0,19092,2:31,
66,2016-03-07,7:00 PM,@,Philadelphia Flyers,2,4,L,,39,23,4,L 1,,18,10,0,2,0,,40,4,1,5,0,17906,2:30,
67,2016-03-08,7:30 PM,,Boston Bruins,0,1,L,OT,39,23,5,L 2,,42,2,0,4,0,,33,10,0,0,0,19092,2:26,
68,2016-03-11,7:30 PM,,Philadelphia Flyers,1,3,L,,39,24,5,L 3,,19,8,0,1,0,,22,4,2,3,0,19092,2:20,
69,2016-03-13,3:00 PM,@,Columbus Blue Jackets,4,0,W,,40,24,5,W 1,,37,14,0,3,2,,37,32,0,5,0,14701,2:26,
70,2016-03-15,7:30 PM,@,Toronto Maple Leafs,1,4,L,,40,25,5,L 1,,27,10,0,3,0,,24,8,0,3,0,18874,2:27,
71,2016-03-17,8:30 PM,@,Dallas Stars,,,,,,,,,,,,,,,,,,,,,,,
72,2016-03-19,10:00 PM,@,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-22,7:30 PM,,Detroit Red Wings,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-25,7:30 PM,,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-26,7:00 PM,,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-28,7:30 PM,,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-31,7:30 PM,,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,,
78,2016-04-02,7:00 PM,,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-04,7:00 PM,@,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-05,7:30 PM,@,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-07,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,7:00 PM,@,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,,
