
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,7:00 PM,@,Toronto Maple Leafs,3,1,W,,1,0,0,W 1,,29,8,0,1,0,,37,4,1,3,0,19241,2:36,
2,2015-10-10,7:00 PM,@,Boston Bruins,4,2,W,,2,0,0,W 2,,38,16,1,6,0,,21,37,1,4,0,17565,2:50,
3,2015-10-11,7:00 PM,@,Ottawa Senators,3,1,W,,3,0,0,W 3,,34,12,0,7,0,,21,18,0,4,1,19177,2:40,
4,2015-10-13,7:00 PM,@,Pittsburgh Penguins,3,2,W,,4,0,0,W 4,,30,4,1,2,0,,33,2,0,2,0,18626,2:23,
5,2015-10-15,7:30 PM,,New York Rangers,3,0,W,,5,0,0,W 5,,32,12,0,5,0,,25,12,0,5,0,21288,2:37,
6,2015-10-17,7:00 PM,,Detroit Red Wings,4,1,W,,6,0,0,W 6,,41,6,2,5,0,,22,10,0,3,0,21288,2:35,
7,2015-10-20,7:30 PM,,St. Louis Blues,3,0,W,,7,0,0,W 7,,36,11,0,2,0,,38,19,0,3,0,21288,2:40,
8,2015-10-23,7:00 PM,@,Buffalo Sabres,7,2,W,,8,0,0,W 8,,26,8,2,3,0,,36,6,1,4,0,18214,2:28,
9,2015-10-24,7:00 PM,,Toronto Maple Leafs,5,3,W,,9,0,0,W 9,,27,12,2,4,1,,52,10,0,5,0,21288,2:43,
10,2015-10-27,10:00 PM,@,Vancouver Canucks,1,5,L,,9,1,0,L 1,,26,2,0,2,0,,28,4,1,2,0,18570,2:23,
11,2015-10-29,9:00 PM,@,Edmonton Oilers,3,4,L,,9,2,0,L 2,,21,10,1,2,0,,27,6,1,4,0,16839,2:37,
12,2015-10-30,9:00 PM,@,Calgary Flames,6,2,W,,10,2,0,W 1,,31,8,1,3,1,,32,8,0,3,0,19289,2:36,
13,2015-11-01,7:00 PM,,Winnipeg Jets,5,1,W,,11,2,0,W 2,,26,8,1,5,1,,19,14,0,3,0,21288,2:31,
