
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-09,7:30 PM,,Toronto Maple Leafs,4,0,W,,1,0,0,W 1,,22,6,1,4,0,,22,10,0,3,0,20027,2:33,
2,2015-10-10,7:00 PM,@,Carolina Hurricanes,4,3,W,,2,0,0,W 2,,19,14,0,1,0,,47,4,1,6,0,18949,2:29,
3,2015-10-13,7:30 PM,,Tampa Bay Lightning,3,1,W,,3,0,0,W 3,,24,6,1,3,0,,21,6,0,3,0,20027,2:27,
4,2015-10-16,7:30 PM,,Carolina Hurricanes,3,5,L,,3,1,0,L 1,,20,6,0,2,0,,36,4,1,3,0,20027,2:22,
5,2015-10-17,7:00 PM,@,Montreal Canadiens,1,4,L,,3,2,0,L 2,,22,10,0,3,0,,41,6,2,5,0,21288,2:35,
6,2015-10-21,9:30 PM,@,Edmonton Oilers,1,3,L,,3,3,0,L 3,,29,4,0,6,0,,28,10,1,3,0,16839,2:25,
7,2015-10-23,9:00 PM,@,Calgary Flames,2,3,L,OT,3,3,1,L 4,,29,13,2,4,0,,40,15,0,3,0,19158,2:37,
8,2015-10-24,10:00 PM,@,Vancouver Canucks,3,2,W,OT,4,3,1,W 1,,28,8,1,6,0,,32,12,2,4,0,18312,2:38,
9,2015-10-27,7:30 PM,,Carolina Hurricanes,1,3,L,,4,4,1,L 1,,26,8,0,2,0,,21,6,0,3,0,20027,2:19,
10,2015-10-30,7:30 PM,,Ottawa Senators,1,3,L,,4,5,1,L 2,,30,8,1,5,0,,35,10,0,4,0,20027,2:36,
11,2015-10-31,7:00 PM,@,Ottawa Senators,5,3,W,,5,5,1,W 1,,28,20,2,3,0,,36,30,0,3,0,16964,2:40,
12,2015-11-03,7:30 PM,,Tampa Bay Lightning,2,1,W,,6,5,1,W 2,,29,10,0,3,0,,30,6,1,4,0,20027,2:32,
