
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-09,7:00 PM,,Winnipeg Jets,1,3,L,,0,1,0,L 1,,21,8,1,4,0,,30,8,1,4,0,14579,2:26,
2,2015-10-10,7:00 PM,@,Washington Capitals,3,5,L,,0,2,0,L 2,,24,12,1,3,0,,27,8,2,5,1,18506,2:35,
3,2015-10-13,7:00 PM,,Nashville Predators,1,3,L,,0,3,0,L 3,,23,4,1,2,0,,20,4,1,2,1,11117,2:27,
4,2015-10-16,7:00 PM,,San Jose Sharks,1,2,L,SO,0,3,1,L 4,,32,4,1,6,0,,34,12,0,1,0,12464,2:37,
5,2015-10-18,1:00 PM,@,New York Rangers,2,1,W,OT,1,3,1,W 1,,24,9,0,3,0,,27,11,0,2,0,18006,2:23,
6,2015-10-20,7:00 PM,,Arizona Coyotes,3,2,W,OT,2,3,1,W 2,,25,15,0,3,1,,20,9,1,5,0,12171,2:32,
7,2015-10-22,7:30 PM,@,Ottawa Senators,5,4,W,SO,3,3,1,W 3,,32,28,2,4,0,,39,15,1,5,1,16578,2:41,
8,2015-10-24,7:00 PM,@,Buffalo Sabres,4,3,W,,4,3,1,W 4,,28,10,0,2,1,,29,4,2,5,0,18040,2:31,
9,2015-10-27,7:00 PM,,Columbus Blue Jackets,1,3,L,,4,4,1,L 1,,24,8,1,4,0,,14,10,0,3,0,12847,2:17,
10,2015-10-29,7:00 PM,@,Philadelphia Flyers,4,1,W,,5,4,1,W 1,,33,4,2,5,0,,28,6,0,2,0,19241,2:32,
11,2015-10-31,1:00 PM,,New York Islanders,3,2,W,SO,6,4,1,W 2,,17,6,0,3,0,,26,8,1,2,1,11605,2:30,
12,2015-11-03,7:00 PM,@,New York Islanders,1,2,L,,6,5,1,L 1,,24,4,1,5,0,,34,10,0,1,0,12122,2:27,
13,2015-11-06,7:00 PM,,Chicago Blackhawks,4,2,W,,7,5,1,W 1,,26,11,0,2,0,,29,9,0,3,0,16514,2:38,
