
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,10:00 PM,,Vancouver Canucks,1,5,L,,0,1,0,L 1,,30,38,0,2,0,,44,36,0,3,0,19289,2:32,
2,2015-10-10,10:00 PM,@,Vancouver Canucks,3,2,W,OT,1,1,0,W 1,,38,12,1,2,0,,30,8,1,4,0,18570,2:36,
3,2015-10-13,9:00 PM,,St. Louis Blues,3,4,L,,1,2,0,L 1,,18,2,1,4,0,,28,8,1,1,0,18632,2:23,
4,2015-10-16,8:00 PM,@,Winnipeg Jets,1,3,L,,1,3,0,L 2,,20,8,0,2,0,,30,4,0,4,0,15294,2:28,
5,2015-10-17,10:00 PM,,Edmonton Oilers,2,5,L,,1,4,0,L 3,,24,13,1,4,0,,28,13,1,4,0,19289,2:36,
6,2015-10-20,9:00 PM,,Washington Capitals,2,6,L,,1,5,0,L 4,,19,6,0,2,0,,30,4,0,3,0,18303,2:28,
7,2015-10-23,9:00 PM,,Detroit Red Wings,3,2,W,OT,2,5,0,W 1,,40,15,0,3,0,,29,13,2,4,0,19158,2:37,
8,2015-10-25,7:00 PM,@,New York Rangers,1,4,L,,2,6,0,L 1,,23,6,0,2,0,,26,6,0,2,0,18006,2:18,
9,2015-10-26,7:00 PM,@,New York Islanders,0,4,L,,2,7,0,L 2,,29,16,0,3,0,,35,6,1,3,0,11582,2:26,
10,2015-10-28,7:30 PM,@,Ottawa Senators,4,5,L,SO,2,7,1,L 3,,38,8,1,4,0,,23,8,0,4,0,16923,2:53,
11,2015-10-30,9:00 PM,,Montreal Canadiens,2,6,L,,2,8,1,L 4,,32,8,0,3,0,,31,8,1,3,1,19289,2:36,
12,2015-10-31,10:00 PM,@,Edmonton Oilers,5,4,W,,3,8,1,W 1,,32,10,1,3,0,,23,8,2,4,0,16839,2:39,
13,2015-11-03,9:00 PM,@,Colorado Avalanche,3,6,L,,3,9,1,L 1,,25,4,0,2,0,,42,4,1,3,1,14408,2:31,
