
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
33,2015-12-22,10:30 PM,,San Jose Sharks,3,5,L,,20,11,2,L 2,,36,8,0,3,0,,23,8,2,4,0,18493,2:33,
34,2015-12-26,9:00 PM,@,Arizona Coyotes,4,3,W,OT,21,11,2,W 1,,33,25,2,6,0,,27,19,3,6,0,15277,2:36,
35,2015-12-28,10:00 PM,@,Vancouver Canucks,5,0,W,,22,11,2,W 2,,38,22,1,3,0,,27,20,0,4,0,18570,2:29,
36,2015-12-29,9:00 PM,@,Edmonton Oilers,5,2,W,,23,11,2,W 3,,33,9,1,2,0,,44,9,0,2,0,16839,2:30,
37,2015-12-31,9:00 PM,@,Calgary Flames,4,1,W,,24,11,2,W 4,,24,13,1,1,0,,24,7,0,4,0,19289,2:25,
38,2016-01-02,4:00 PM,,Philadelphia Flyers,2,1,W,,25,11,2,W 5,,32,8,1,3,0,,30,6,1,4,0,18230,2:33,
39,2016-01-04,9:00 PM,@,Colorado Avalanche,1,4,L,,25,12,2,L 1,,31,15,1,5,0,,33,15,3,5,0,15202,2:30,
40,2016-01-07,10:30 PM,,Toronto Maple Leafs,2,1,W,,26,12,2,W 1,,41,10,0,2,0,,26,19,1,4,0,18230,2:35,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-09,10:30 PM,,St. Louis Blues,1,2,L,SO,26,12,3,L 1,,27,22,0,4,0,,16,13,0,2,0,18413,2:47,
42,2016-01-11,10:30 PM,,Detroit Red Wings,4,2,W,,27,12,3,W 1,,31,4,2,3,0,,27,6,0,2,0,18230,2:23,
43,2016-01-16,4:00 PM,,Ottawa Senators,3,5,L,,27,13,3,L 1,,33,8,1,3,0,,23,6,1,4,0,18230,2:29,
44,2016-01-17,9:00 PM,@,Anaheim Ducks,3,2,W,,28,13,3,W 1,,26,16,1,2,0,,32,14,0,3,0,17227,2:40,
45,2016-01-19,10:30 PM,,Dallas Stars,3,2,W,,29,13,3,W 2,,29,4,1,2,0,,29,4,0,2,0,18230,2:34,
46,2016-01-21,10:30 PM,,Minnesota Wild,0,3,L,,29,14,3,L 1,,32,6,0,1,0,,28,4,1,2,1,18230,2:37,
47,2016-01-23,9:00 PM,@,Arizona Coyotes,2,3,L,,29,15,3,L 2,,28,20,0,2,0,,24,6,1,4,0,14195,2:33,
48,2016-01-24,10:00 PM,@,San Jose Sharks,3,2,W,OT,30,15,3,W 1,,32,8,1,4,0,,32,8,0,4,0,17562,2:39,
49,2016-01-27,10:30 PM,,Colorado Avalanche,3,4,L,,30,16,3,L 1,,38,14,0,5,1,,19,12,1,6,0,18230,2:29,
50,2016-02-02,9:00 PM,@,Arizona Coyotes,6,2,W,,31,16,3,W 1,,35,12,3,7,0,,26,16,0,5,0,12261,2:36,
51,2016-02-04,10:00 PM,,Anaheim Ducks,2,4,L,,31,17,3,L 1,,25,12,1,2,0,,24,6,1,5,0,18230,2:33,
52,2016-02-09,7:00 PM,@,Boston Bruins,9,2,W,,32,17,3,W 1,,57,16,3,3,0,,37,16,1,3,0,17565,2:35,
53,2016-02-11,7:00 PM,@,New York Islanders,2,5,L,,32,18,3,L 1,,30,8,0,3,0,,30,6,1,4,1,13643,2:29,
54,2016-02-12,7:00 PM,@,New York Rangers,5,4,W,OT,33,18,3,W 1,,34,2,1,2,0,,28,4,1,1,0,,2:34,
55,2016-02-14,12:30 PM,@,New Jersey Devils,0,1,L,,33,19,3,L 1,,28,6,0,1,0,,18,2,1,3,0,16514,2:24,
56,2016-02-16,7:00 PM,@,Washington Capitals,1,3,L,,33,20,3,L 2,,40,15,0,3,1,,32,11,0,5,0,18506,2:32,
57,2016-02-18,8:00 PM,@,St. Louis Blues,1,2,L,OT,33,20,4,L 3,,35,16,1,6,0,,32,16,1,6,0,18923,2:42,
58,2016-02-20,8:00 PM,@,Nashville Predators,2,1,W,OT,34,20,4,W 1,,30,10,0,2,0,,34,4,1,6,0,17369,2:35,
59,2016-02-23,10:30 PM,,Calgary Flames,2,1,W,,35,20,4,W 2,,37,6,1,4,0,,23,10,1,2,0,18230,2:38,
60,2016-02-25,10:30 PM,,Edmonton Oilers,2,1,W,,36,20,4,W 3,,36,2,0,1,0,,27,2,0,1,0,18230,2:39,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-27,11:00 PM,,Buffalo Sabres,2,0,W,,37,20,4,W 4,,35,6,0,2,0,,23,4,0,3,0,18230,2:28,
62,2016-02-28,9:00 PM,@,Anaheim Ducks,2,4,L,,37,21,4,L 1,,29,14,1,4,0,,29,12,3,5,0,17174,2:44,
63,2016-03-03,10:30 PM,,Montreal Canadiens,3,2,W,,38,21,4,W 1,,31,8,0,4,0,,15,12,0,2,0,18230,2:25,
64,2016-03-05,4:00 PM,,Anaheim Ducks,2,3,L,,38,22,4,L 1,,34,36,2,6,0,,22,44,2,2,0,18230,2:36,
65,2016-03-07,10:30 PM,,Vancouver Canucks,5,1,W,,39,22,4,W 1,,29,17,1,2,0,,22,9,0,5,0,18230,2:21,
66,2016-03-09,10:30 PM,,Washington Capitals,4,3,W,OT,40,22,4,W 2,,30,14,1,3,0,,32,18,1,1,0,18324,2:38,
67,2016-03-12,10:30 PM,,New Jersey Devils,1,2,L,OT,40,22,5,L 1,,23,2,0,5,0,,24,10,0,1,0,18412,2:30,
68,2016-03-14,8:00 PM,@,Chicago Blackhawks,5,0,W,,41,22,5,W 1,,25,12,0,2,0,,32,4,0,6,0,22170,2:32,
69,2016-03-15,8:30 PM,@,Dallas Stars,5,2,W,,42,22,5,W 2,,22,6,0,1,0,,26,2,1,3,0,18532,2:27,
70,2016-03-17,10:30 PM,,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
71,2016-03-19,10:30 PM,,Boston Bruins,,,,,,,,,,,,,,,,,,,,,,,
72,2016-03-21,8:00 PM,@,Nashville Predators,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-22,8:30 PM,@,Minnesota Wild,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-24,8:00 PM,@,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-26,10:00 PM,,Edmonton Oilers,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-28,10:00 PM,@,San Jose Sharks,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-31,10:30 PM,,Calgary Flames,,,,,,,,,,,,,,,,,,,,,,,
78,2016-04-02,4:00 PM,,Dallas Stars,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-04,10:00 PM,@,Vancouver Canucks,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-05,9:00 PM,@,Calgary Flames,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-07,10:30 PM,,Anaheim Ducks,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,10:00 PM,,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
