
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,10:00 PM,@,Calgary Flames,5,1,W,,1,0,0,W 1,,44,36,0,3,0,,30,38,0,2,0,19289,2:32,
2,2015-10-10,10:00 PM,,Calgary Flames,2,3,L,OT,1,0,1,L 1,,30,8,1,4,0,,38,12,1,2,0,18570,2:36,
3,2015-10-12,10:00 PM,@,Anaheim Ducks,2,1,W,SO,2,0,1,W 1,,25,9,0,2,0,,29,9,0,2,0,17174,2:25,
4,2015-10-13,10:30 PM,@,Los Angeles Kings,3,0,W,,3,0,1,W 2,,26,11,0,4,0,,15,13,0,3,0,18230,2:23,
5,2015-10-16,10:00 PM,,St. Louis Blues,3,4,L,,3,1,1,L 1,,34,13,0,5,1,,32,15,0,4,0,18362,2:24,
6,2015-10-18,9:00 PM,,Edmonton Oilers,1,2,L,OT,3,1,2,L 2,,34,4,0,2,0,,24,4,1,2,0,18261,2:21,
7,2015-10-22,10:00 PM,,Washington Capitals,2,3,L,,3,2,2,L 3,,25,4,1,3,0,,35,6,0,2,0,18188,2:17,
8,2015-10-24,10:00 PM,,Detroit Red Wings,2,3,L,OT,3,2,3,L 4,,32,12,2,4,0,,28,8,1,6,0,18312,2:38,
9,2015-10-27,10:00 PM,,Montreal Canadiens,5,1,W,,4,2,3,W 1,,28,4,1,2,0,,26,2,0,2,0,18570,2:23,
10,2015-10-29,8:30 PM,@,Dallas Stars,3,4,L,OT,4,2,4,L 1,,32,8,1,2,0,,29,6,0,3,0,17664,2:32,
11,2015-10-30,10:00 PM,@,Arizona Coyotes,4,3,W,,5,2,4,W 1,,22,4,1,4,0,,31,8,0,2,0,12166,2:22,
12,2015-11-02,10:00 PM,,Philadelphia Flyers,4,1,W,,6,2,4,W 2,,34,6,0,1,0,,28,4,0,2,0,18264,2:29,
13,2015-11-04,10:00 PM,,Pittsburgh Penguins,2,3,L,,6,3,4,L 1,,20,12,0,4,0,,23,14,1,3,1,18570,2:31,
