
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,8:00 PM,,Carolina Hurricanes,2,1,W,,1,0,0,W 1,,25,6,1,3,0,,26,6,0,3,0,17204,2:25,
2,2015-10-10,7:00 PM,,Edmonton Oilers,2,0,W,,2,0,0,W 2,,26,10,0,2,0,,31,4,0,5,0,17113,2:32,
3,2015-10-13,7:00 PM,@,New Jersey Devils,3,1,W,,3,0,0,W 3,,20,4,1,2,1,,23,4,1,2,0,11117,2:27,
4,2015-10-15,7:00 PM,@,New York Islanders,3,4,L,,3,1,0,L 1,,47,6,0,2,0,,28,6,0,2,0,10542,2:32,
5,2015-10-17,7:00 PM,@,Ottawa Senators,4,3,W,SO,4,1,0,W 1,,25,18,2,6,0,,41,28,0,2,0,16895,2:50,
6,2015-10-20,8:00 PM,,Tampa Bay Lightning,5,4,W,SO,5,1,0,W 2,,33,4,0,3,0,,29,6,1,2,0,17113,2:43,
7,2015-10-22,8:00 PM,,Anaheim Ducks,5,1,W,,6,1,0,W 3,,29,10,1,5,0,,28,10,1,5,0,17113,2:28,
8,2015-10-24,8:00 PM,,Pittsburgh Penguins,1,2,L,OT,6,1,1,L 1,,39,9,0,3,0,,25,6,0,3,0,17163,2:29,
9,2015-10-28,10:30 PM,@,San Jose Sharks,2,1,W,,7,1,1,W 1,,24,8,0,2,0,,21,8,0,2,0,15219,2:24,
10,2015-10-31,4:00 PM,@,Los Angeles Kings,3,4,L,OT,7,1,2,L 1,,34,6,2,3,0,,29,6,1,3,0,18230,2:29,
11,2015-11-01,8:00 PM,@,Anaheim Ducks,2,4,L,,7,2,2,L 2,,42,8,1,6,0,,28,12,0,2,0,16276,2:32,
12,2015-11-05,8:00 PM,@,Minnesota Wild,3,2,W,,8,2,2,W 1,,24,14,0,1,0,,29,4,2,6,0,19024,2:40,
