
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-07,10:30 PM,@,Los Angeles Kings,5,1,W,,1,0,0,W 1,,32,24,2,8,0,,20,36,0,6,0,18230,2:40,
2,2015-10-10,10:30 PM,,Anaheim Ducks,2,0,W,,2,0,0,W 2,,44,2,0,1,0,,27,2,0,1,0,17562,2:25,
3,2015-10-13,7:00 PM,@,Washington Capitals,5,0,W,,3,0,0,W 3,,32,8,1,5,0,,31,10,0,4,0,18506,2:33,
4,2015-10-16,7:00 PM,@,New Jersey Devils,2,1,W,SO,4,0,0,W 4,,34,12,0,1,0,,32,4,1,6,0,12464,2:37,
5,2015-10-17,7:30 PM,@,New York Islanders,3,6,L,,4,1,0,L 1,,25,6,0,2,0,,34,2,1,3,0,11577,2:37,
6,2015-10-19,7:00 PM,@,New York Rangers,0,4,L,,4,2,0,L 2,,22,2,0,2,0,,28,4,1,1,0,18006,2:19,
7,2015-10-22,10:30 PM,,Los Angeles Kings,1,4,L,,4,3,0,L 3,,40,8,0,5,0,,29,12,2,4,0,16797,2:39,
8,2015-10-24,10:30 PM,,Carolina Hurricanes,5,2,W,,5,3,0,W 1,,21,6,0,1,0,,34,2,1,3,0,15814,2:24,
9,2015-10-28,10:30 PM,,Nashville Predators,1,2,L,,5,4,0,L 1,,21,8,0,2,0,,24,8,0,2,0,15219,2:24,
10,2015-10-31,3:00 PM,@,Dallas Stars,3,5,L,,5,5,0,L 2,,29,8,2,4,1,,25,8,1,5,1,18178,2:33,
11,2015-11-01,3:00 PM,@,Colorado Avalanche,4,3,W,,6,5,0,W 1,,32,13,0,1,1,,26,9,2,4,0,17128,2:31,
12,2015-11-03,10:30 PM,,Columbus Blue Jackets,2,5,L,,6,6,0,L 1,,43,9,0,4,0,,24,11,1,2,0,15491,2:30,
13,2015-11-05,10:30 PM,,Florida Panthers,5,2,W,,7,6,0,W 1,,32,11,0,2,0,,33,9,1,3,0,15525,2:29,
