
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-19,1:00 PM,@,Buffalo Sabres,3,2,W,SO,19,11,4,W 2,,28,4,1,3,0,,27,6,0,2,0,18870,2:38,
35,2015-12-20,7:00 PM,,San Jose Sharks,4,3,W,OT,20,11,4,W 3,,32,11,0,1,0,,36,7,1,3,0,22096,2:41,
36,2015-12-22,8:30 PM,@,Dallas Stars,0,4,L,,20,12,4,L 1,,20,10,0,2,0,,32,6,1,4,0,18532,2:26,
37,2015-12-27,7:00 PM,,Carolina Hurricanes,1,2,L,,20,13,4,L 2,,36,4,0,1,0,,27,6,0,0,0,22157,2:22,
38,2015-12-29,9:00 PM,@,Arizona Coyotes,7,5,W,,21,13,4,W 1,,28,14,3,4,1,,37,8,2,8,0,17197,2:43,
39,2015-12-31,8:00 PM,@,Colorado Avalanche,4,3,W,OT,22,13,4,W 2,,43,6,2,6,0,,30,10,1,3,0,18048,2:29,
40,2016-01-03,7:00 PM,,Ottawa Senators,3,0,W,,23,13,4,W 3,,30,4,0,1,0,,26,2,0,2,0,22016,2:21,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-05,7:00 PM,@,Pittsburgh Penguins,3,2,W,OT,24,13,4,W 4,,30,2,0,2,0,,36,4,0,1,0,18658,2:28,
42,2016-01-06,8:00 PM,,Pittsburgh Penguins,3,1,W,,25,13,4,W 5,,37,8,0,3,0,,18,8,1,3,0,21908,2:27,
43,2016-01-08,8:30 PM,,Buffalo Sabres,3,1,W,,26,13,4,W 6,,45,4,0,1,0,,29,4,0,1,0,22142,2:28,
44,2016-01-10,7:00 PM,,Colorado Avalanche,6,3,W,,27,13,4,W 7,,35,4,1,2,0,,37,4,0,2,0,22007,2:23,
45,2016-01-12,8:30 PM,,Nashville Predators,3,2,W,,28,13,4,W 8,,23,12,0,4,0,,43,10,1,5,0,21618,2:28,
46,2016-01-14,7:30 PM,@,Montreal Canadiens,2,1,W,,29,13,4,W 9,,33,2,0,1,0,,40,2,0,1,0,21288,2:28,
47,2016-01-15,7:00 PM,@,Toronto Maple Leafs,4,1,W,,30,13,4,W 10,,29,6,2,6,0,,29,12,0,3,0,20049,2:30,
48,2016-01-17,7:00 PM,,Montreal Canadiens,5,2,W,,31,13,4,W 11,,33,4,1,4,0,,29,8,1,2,0,22030,2:25,
49,2016-01-19,8:00 PM,@,Nashville Predators,4,1,W,,32,13,4,W 12,,27,6,0,2,0,,39,4,0,3,0,17122,2:24,
50,2016-01-21,7:30 PM,@,Tampa Bay Lightning,1,2,L,,32,14,4,L 1,,18,6,0,3,0,,33,6,1,4,0,19092,2:22,
51,2016-01-22,7:30 PM,@,Florida Panthers,0,4,L,,32,15,4,L 2,,27,13,0,2,0,,32,11,0,3,0,19343,2:21,
52,2016-01-24,7:00 PM,,St. Louis Blues,2,0,W,,33,15,4,W 1,,25,2,1,1,0,,25,2,0,1,0,22138,2:21,
53,2016-01-26,7:30 PM,@,Carolina Hurricanes,0,5,L,,33,16,4,L 1,,26,4,0,4,0,,40,8,0,2,0,14588,2:27,
54,2016-02-02,9:00 PM,@,Colorado Avalanche,2,1,W,,34,16,4,W 1,,42,4,0,3,0,,23,6,0,2,0,18007,2:26,
55,2016-02-04,9:00 PM,@,Arizona Coyotes,5,4,W,OT,35,16,4,W 2,,40,10,0,4,1,,28,22,2,4,0,17125,2:46,
56,2016-02-06,8:00 PM,@,Dallas Stars,5,1,W,,36,16,4,W 3,,26,12,1,5,2,,37,12,0,6,0,18532,2:23,
57,2016-02-09,8:30 PM,,San Jose Sharks,0,2,L,,36,17,4,L 1,,33,2,0,3,0,,27,6,1,1,0,21753,2:25,
58,2016-02-11,8:30 PM,,Dallas Stars,2,4,L,,36,18,4,L 2,,46,6,0,2,0,,32,6,2,2,0,22051,2:27,
59,2016-02-13,8:30 PM,,Anaheim Ducks,2,3,L,OT,36,18,5,L 3,,23,6,1,2,0,,44,6,1,3,0,22107,2:36,
60,2016-02-15,8:30 PM,,Toronto Maple Leafs,7,2,W,,37,18,5,W 1,,32,8,4,7,0,,37,14,1,4,0,21767,2:26,
