
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-09,10:30 PM,@,Los Angeles Kings,4,1,W,,1,0,0,W 1,,22,10,0,3,0,,41,8,0,4,1,18230,2:27,
2,2015-10-10,10:00 PM,,Pittsburgh Penguins,2,1,W,,2,0,0,W 2,,39,14,0,4,0,,28,12,0,4,0,17125,2:30,
3,2015-10-14,10:30 PM,@,Anaheim Ducks,4,0,W,,3,0,0,W 3,,29,11,1,6,0,,37,17,0,3,0,15172,2:33,
4,2015-10-15,10:00 PM,,Minnesota Wild,3,4,L,,3,1,0,L 1,,30,24,0,7,0,,24,16,1,5,1,12029,2:44,
5,2015-10-17,10:00 PM,,Boston Bruins,3,5,L,,3,2,0,L 2,,23,17,1,4,0,,43,13,3,6,1,13411,2:35,
6,2015-10-20,7:00 PM,@,New Jersey Devils,2,3,L,OT,3,2,1,L 3,,20,9,1,5,0,,25,15,0,3,1,12171,2:32,
7,2015-10-22,7:00 PM,@,New York Rangers,1,4,L,,3,3,1,L 4,,35,6,0,3,0,,27,6,1,3,0,18006,2:38,
8,2015-10-24,7:00 PM,@,Ottawa Senators,4,1,W,,4,3,1,W 1,,26,6,0,2,0,,36,4,0,3,0,17270,2:29,
9,2015-10-26,7:30 PM,@,Toronto Maple Leafs,4,3,W,,5,3,1,W 2,,24,6,2,4,0,,27,10,0,2,0,18944,2:48,
10,2015-10-27,7:00 PM,@,Boston Bruins,0,6,L,,5,4,1,L 1,,24,28,0,3,0,,27,4,1,4,0,17565,2:34,
11,2015-10-30,10:00 PM,,Vancouver Canucks,3,4,L,,5,5,1,L 2,,31,8,0,2,0,,22,4,1,4,0,12166,2:22,
12,2015-11-05,9:00 PM,,Colorado Avalanche,4,2,W,,6,5,1,W 1,,28,10,0,6,0,,28,12,0,5,0,10270,2:37,
13,2015-11-07,9:00 PM,,New York Rangers,1,4,L,,6,6,1,L 1,,40,8,1,4,0,,30,8,1,4,0,13029,2:31,
