
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-21,8:00 PM,@,Minnesota Wild,6,3,W,,25,7,2,W 2,,34,2,1,2,0,,35,6,0,0,0,19047,2:41,
35,2015-12-22,8:30 PM,,Chicago Blackhawks,4,0,W,,26,7,2,W 3,,32,6,1,4,0,,20,10,0,2,0,18532,2:26,
36,2015-12-26,8:00 PM,@,St. Louis Blues,2,3,L,SO,26,7,3,L 1,,24,8,0,1,0,,37,2,1,4,0,19185,2:51,
37,2015-12-27,6:00 PM,,St. Louis Blues,3,0,W,,27,7,3,W 1,,38,18,2,3,0,,22,20,0,2,0,18532,2:38,
38,2015-12-29,7:00 PM,@,Columbus Blue Jackets,3,6,L,,27,8,3,L 1,,43,6,0,3,0,,33,8,0,2,0,15836,2:38,
39,2015-12-31,8:30 PM,,Nashville Predators,5,1,W,,28,8,3,W 1,,32,2,0,1,0,,34,2,0,1,0,18532,2:32,
40,2016-01-02,7:00 PM,@,New Jersey Devils,2,3,L,OT,28,8,4,L 1,,31,8,0,3,0,,30,6,1,4,0,16514,2:31,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-03,5:00 PM,@,New York Islanders,5,6,L,,28,9,4,L 2,,41,25,1,4,0,,44,8,2,7,1,14054,2:36,
42,2016-01-05,7:00 PM,@,New York Rangers,2,6,L,,28,10,4,L 3,,23,6,0,3,0,,29,6,0,3,1,18006,2:24,
43,2016-01-07,8:30 PM,,Winnipeg Jets,2,1,W,SO,29,10,4,W 1,,24,8,0,2,0,,33,6,0,3,0,18532,2:42,
44,2016-01-09,8:00 PM,,Minnesota Wild,1,2,L,,29,11,4,L 1,,35,4,1,2,0,,25,6,0,1,0,18532,2:34,
45,2016-01-15,10:00 PM,@,Anaheim Ducks,2,4,L,,29,12,4,L 2,,24,6,1,4,1,,35,8,1,3,0,16201,2:36,
46,2016-01-16,10:30 PM,@,San Jose Sharks,3,4,L,OT,29,12,5,L 3,,35,4,0,2,0,,39,2,2,2,0,17562,2:38,
47,2016-01-19,10:30 PM,@,Los Angeles Kings,2,3,L,,29,13,5,L 4,,29,4,0,2,0,,29,4,1,2,0,18230,2:34,
48,2016-01-21,8:30 PM,,Edmonton Oilers,3,2,W,,30,13,5,W 1,,35,6,0,2,0,,25,4,1,3,0,18532,2:35,
49,2016-01-23,8:00 PM,,Colorado Avalanche,1,3,L,,30,14,5,L 1,,43,0,1,5,0,,15,10,0,1,2,18532,2:32,
50,2016-01-25,8:30 PM,,Calgary Flames,2,1,W,,31,14,5,W 1,,30,12,0,2,0,,24,6,0,5,0,18532,2:25,
51,2016-02-02,8:00 PM,@,Winnipeg Jets,5,3,W,,32,14,5,W 2,,27,8,1,4,0,,24,10,1,3,0,15294,2:24,
52,2016-02-04,9:00 PM,@,Colorado Avalanche,4,3,W,OT,33,14,5,W 3,,44,10,1,2,0,,24,8,0,3,0,14351,2:38,
53,2016-02-06,8:00 PM,,Chicago Blackhawks,1,5,L,,33,15,5,L 1,,37,12,0,6,0,,26,12,1,5,2,18532,2:23,
54,2016-02-09,8:00 PM,@,Minnesota Wild,4,3,W,OT,34,15,5,W 1,,30,6,1,3,0,,40,6,1,3,0,19087,2:40,
55,2016-02-11,8:30 PM,@,Chicago Blackhawks,4,2,W,,35,15,5,W 2,,32,6,2,2,0,,46,6,0,2,0,22051,2:27,
56,2016-02-13,8:00 PM,,Washington Capitals,4,3,W,,36,15,5,W 3,,35,6,1,4,0,,23,6,1,3,0,18532,2:24,
57,2016-02-15,8:00 PM,@,Nashville Predators,3,2,W,OT,37,15,5,W 4,,32,14,0,2,1,,26,14,0,2,0,17113,2:32,
