
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
34,2015-12-26,8:00 PM,,Pittsburgh Penguins,1,3,L,,18,10,6,L 1,,26,4,0,4,0,,32,8,1,3,0,19234,2:30,
35,2015-12-28,8:00 PM,,Detroit Red Wings,3,1,W,,19,10,6,W 1,,35,6,1,2,0,,29,6,0,2,0,19110,2:25,
36,2015-12-31,8:00 PM,@,St. Louis Blues,3,1,W,,20,10,6,W 2,,29,8,0,1,0,,34,4,1,3,0,19194,2:20,
37,2016-01-02,7:00 PM,@,Tampa Bay Lightning,2,3,L,SO,20,10,7,L 1,,32,2,0,4,0,,30,6,0,1,0,19092,2:45,
38,2016-01-03,6:00 PM,@,Florida Panthers,1,2,L,,20,11,7,L 2,,40,8,0,4,0,,29,8,0,5,0,15426,2:33,
39,2016-01-05,7:00 PM,@,Columbus Blue Jackets,4,2,W,,21,11,7,W 1,,33,4,0,2,0,,31,6,0,1,0,12411,2:29,
40,2016-01-07,8:00 PM,,Philadelphia Flyers,3,4,L,OT,21,11,8,L 1,,34,6,0,1,0,,36,4,0,2,0,19125,2:34,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
41,2016-01-09,8:00 PM,@,Dallas Stars,2,1,W,,22,11,8,W 1,,25,6,0,1,0,,35,4,1,2,0,18532,2:34,
42,2016-01-10,8:00 PM,,New Jersey Devils,1,2,L,,22,12,8,L 1,,18,11,0,1,0,,17,9,0,2,0,19028,2:19,
43,2016-01-12,8:00 PM,,Buffalo Sabres,2,3,L,,22,13,8,L 2,,30,4,0,1,1,,23,0,0,2,0,19034,2:33,
44,2016-01-15,8:00 PM,,Winnipeg Jets,0,1,L,,22,14,8,L 3,,24,4,0,3,0,,26,6,0,2,0,19222,2:19,
45,2016-01-16,8:00 PM,@,Nashville Predators,0,3,L,,22,15,8,L 4,,29,4,0,3,0,,25,6,1,2,0,17302,2:29,
46,2016-01-20,10:30 PM,@,Anaheim Ducks,1,3,L,,22,16,8,L 5,,26,2,0,3,0,,27,6,0,1,0,15962,2:28,
47,2016-01-21,10:30 PM,@,Los Angeles Kings,3,0,W,,23,16,8,W 1,,28,4,1,2,1,,32,6,0,1,0,18230,2:37,
48,2016-01-23,4:00 PM,@,San Jose Sharks,3,4,L,,23,17,8,L 1,,28,6,1,3,0,,33,6,1,3,0,16956,2:38,
49,2016-01-25,8:30 PM,,Arizona Coyotes,1,2,L,SO,23,17,9,L 2,,35,6,0,2,0,,24,4,0,3,1,19020,2:48,
50,2016-02-02,7:00 PM,@,New York Islanders,3,5,L,,23,18,9,L 3,,43,2,1,4,0,,38,6,1,1,0,13331,2:39,
51,2016-02-04,7:00 PM,@,New York Rangers,2,4,L,,23,19,9,L 4,,18,6,1,3,0,,30,6,0,3,0,18006,2:25,
52,2016-02-06,8:00 PM,@,St. Louis Blues,1,4,L,,23,20,9,L 5,,39,12,1,7,0,,24,16,3,6,0,19318,2:43,
53,2016-02-09,8:00 PM,,Dallas Stars,3,4,L,OT,23,20,10,L 6,,40,6,1,3,0,,30,6,1,3,0,19087,2:40,
54,2016-02-11,8:00 PM,,Washington Capitals,3,4,L,,23,21,10,L 7,,36,10,1,5,0,,33,10,1,5,0,19213,2:41,
55,2016-02-13,2:00 PM,,Boston Bruins,2,4,L,,23,22,10,L 8,,33,12,0,5,0,,19,10,0,6,1,19191,2:26,
56,2016-02-15,10:00 PM,@,Vancouver Canucks,5,2,W,,24,22,10,W 1,,34,8,1,4,0,,26,6,2,4,0,18437,2:32,
57,2016-02-17,10:00 PM,@,Calgary Flames,5,3,W,,25,22,10,W 2,,24,10,1,3,1,,28,6,1,5,0,19289,2:28,
58,2016-02-18,9:00 PM,@,Edmonton Oilers,5,2,W,,26,22,10,W 3,,27,4,2,3,0,,33,6,0,2,0,16839,2:25,
59,2016-02-21,3:30 PM,,Chicago Blackhawks,6,1,W,,27,22,10,W 4,,32,10,1,6,0,,32,27,0,2,0,32767,2:43,
60,2016-02-23,8:00 PM,,New York Islanders,1,4,L,,27,23,10,L 1,,31,6,0,5,0,,31,10,2,3,1,19085,2:33,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-25,7:00 PM,@,Philadelphia Flyers,2,3,L,,27,24,10,L 2,,26,2,1,3,0,,31,6,1,1,0,18631,2:29,
62,2016-02-26,7:00 PM,@,Washington Capitals,2,3,L,,27,25,10,L 3,,32,2,1,3,0,,27,6,1,1,0,18605,2:21,
63,2016-02-28,3:00 PM,,Florida Panthers,3,1,W,,28,25,10,W 1,,27,10,1,5,0,,18,12,1,3,0,19093,2:37,
64,2016-03-01,8:00 PM,,Colorado Avalanche,6,3,W,,29,25,10,W 2,,30,6,0,3,0,,33,4,1,3,0,19107,2:23,
65,2016-03-03,7:30 PM,@,Toronto Maple Leafs,2,1,W,,30,25,10,W 3,,22,0,2,4,0,,22,6,0,0,0,18915,2:27,
66,2016-03-05,1:00 PM,@,Buffalo Sabres,3,2,W,SO,31,25,10,W 4,,30,6,1,1,0,,32,4,2,2,0,19070,2:47,
67,2016-03-06,8:00 PM,,St. Louis Blues,2,4,L,,31,26,10,L 1,,32,2,0,4,0,,35,8,0,1,0,19040,2:35,
68,2016-03-10,8:00 PM,,Edmonton Oilers,1,2,L,,31,27,10,L 2,,30,4,0,4,0,,25,8,0,2,0,19058,2:23,
69,2016-03-12,7:00 PM,@,Montreal Canadiens,4,1,W,,32,27,10,W 1,,22,4,1,2,0,,31,4,0,2,0,21288,2:28,
70,2016-03-15,7:30 PM,@,Ottawa Senators,2,3,L,OT,32,27,11,L 1,,25,11,0,3,0,,20,11,0,3,0,18966,2:34,
71,2016-03-17,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
72,2016-03-19,2:00 PM,,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-20,8:30 PM,@,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-22,8:30 PM,,Los Angeles Kings,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-24,8:00 PM,,Calgary Flames,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-26,3:00 PM,@,Colorado Avalanche,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-29,8:00 PM,,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
78,2016-03-31,8:00 PM,,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-01,7:30 PM,@,Detroit Red Wings,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-03,8:00 PM,@,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-05,8:00 PM,,San Jose Sharks,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,7:00 PM,,Calgary Flames,,,,,,,,,,,,,,,,,,,,,,,
