
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-10,10:30 PM,@,San Jose Sharks,0,2,L,,0,1,0,L 1,,27,2,0,1,0,,44,2,0,1,0,17562,2:25,
2,2015-10-12,10:00 PM,,Vancouver Canucks,1,2,L,SO,0,1,1,L 2,,29,9,0,2,0,,25,9,0,2,0,17174,2:25,
3,2015-10-14,10:30 PM,,Arizona Coyotes,0,4,L,,0,2,1,L 3,,37,17,0,3,0,,29,11,1,6,0,15172,2:33,
4,2015-10-16,10:00 PM,,Colorado Avalanche,0,3,L,,0,3,1,L 4,,35,8,0,5,0,,25,14,0,2,0,17174,2:29,
5,2015-10-18,8:00 PM,,Minnesota Wild,4,1,W,,1,3,1,W 1,,22,2,0,2,0,,35,4,0,1,0,16784,2:34,
6,2015-10-22,8:00 PM,@,Nashville Predators,1,5,L,,1,4,1,L 1,,28,10,1,5,0,,29,10,1,5,0,17113,2:28,
7,2015-10-24,6:00 PM,@,Minnesota Wild,0,3,L,,1,5,1,L 2,,15,8,0,1,0,,30,2,0,5,1,19034,2:29,
8,2015-10-26,8:30 PM,@,Chicago Blackhawks,0,1,L,OT,1,5,2,L 3,,39,25,0,3,0,,24,15,0,3,0,21529,2:36,
9,2015-10-27,8:30 PM,@,Dallas Stars,3,4,L,,1,6,2,L 4,,20,11,1,4,0,,34,13,1,3,1,17798,2:32,
10,2015-10-29,8:00 PM,@,St. Louis Blues,1,2,L,,1,7,2,L 5,,23,17,1,4,0,,34,15,0,5,0,16904,2:30,
11,2015-11-01,8:00 PM,,Nashville Predators,4,2,W,,2,7,2,W 1,,28,12,0,2,0,,42,8,1,6,0,16276,2:32,
12,2015-11-04,10:30 PM,,Florida Panthers,3,2,W,SO,3,7,2,W 2,,39,6,1,5,0,,25,10,0,3,0,15169,2:49,
13,2015-11-06,10:00 PM,,Columbus Blue Jackets,4,2,W,,4,7,2,W 3,,34,8,1,3,0,,36,10,0,2,0,17174,2:26,
