
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,7:00 PM,@,Boston Bruins,6,2,W,,1,0,0,W 1,,32,6,0,0,0,,31,2,0,2,0,17565,2:26,
2,2015-10-09,7:00 PM,@,New Jersey Devils,3,1,W,,2,0,0,W 2,,30,8,1,4,0,,21,8,1,4,0,14579,2:26,
3,2015-10-12,1:00 PM,@,New York Islanders,2,4,L,,2,1,0,L 1,,24,16,1,3,0,,44,10,2,6,0,11183,2:37,
4,2015-10-13,7:00 PM,@,New York Rangers,4,1,W,,3,1,0,W 1,,29,12,2,5,1,,41,12,0,5,0,18006,2:23,
5,2015-10-16,8:00 PM,,Calgary Flames,3,1,W,,4,1,0,W 2,,30,4,0,4,0,,20,8,0,2,0,15294,2:28,
6,2015-10-18,3:00 PM,,St. Louis Blues,2,4,L,,4,2,0,L 1,,29,16,2,7,0,,41,20,1,6,0,15294,3:28,
7,2015-10-23,8:00 PM,,Tampa Bay Lightning,3,4,L,OT,4,2,1,L 2,,36,8,0,1,1,,31,6,0,2,0,15294,2:31,
8,2015-10-25,6:00 PM,,Minnesota Wild,5,4,W,,5,2,1,W 1,,33,10,0,1,0,,30,2,1,5,0,15294,2:34,
9,2015-10-27,8:00 PM,,Los Angeles Kings,1,4,L,,5,3,1,L 1,,25,2,0,1,0,,32,2,0,1,0,15294,2:20,
10,2015-10-29,8:00 PM,,Chicago Blackhawks,3,1,W,,6,3,1,W 1,,31,6,1,3,0,,46,6,1,3,0,15294,2:32,
11,2015-10-31,7:00 PM,@,Columbus Blue Jackets,3,2,W,,7,3,1,W 2,,27,15,1,3,0,,21,11,0,5,0,12860,2:29,
12,2015-11-01,7:00 PM,@,Montreal Canadiens,1,5,L,,7,4,1,L 1,,19,14,0,3,0,,26,8,1,5,1,21288,2:31,
13,2015-11-04,7:00 PM,@,Toronto Maple Leafs,4,2,W,,8,4,1,W 1,,34,6,0,2,1,,26,2,1,3,0,19113,2:32,
