
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,8:00 PM,@,St. Louis Blues,1,3,L,,0,1,0,L 1,,24,13,1,3,0,,31,13,0,3,0,19327,2:25,
2,2015-10-10,7:00 PM,@,Nashville Predators,0,2,L,,0,2,0,L 2,,31,4,0,5,0,,26,10,0,2,0,17113,2:32,
3,2015-10-13,8:30 PM,@,Dallas Stars,2,4,L,,0,3,0,L 3,,28,10,0,1,0,,52,4,0,4,0,16265,2:30,
4,2015-10-15,9:00 PM,,St. Louis Blues,2,4,L,,0,4,0,L 4,,26,8,0,5,0,,29,10,1,4,0,16839,2:27,
5,2015-10-17,10:00 PM,@,Calgary Flames,5,2,W,,1,4,0,W 1,,28,13,1,4,0,,24,13,1,4,0,19289,2:36,
6,2015-10-18,9:00 PM,@,Vancouver Canucks,2,1,W,OT,2,4,0,W 2,,24,4,1,2,0,,34,4,0,2,0,18261,2:21,
7,2015-10-21,9:30 PM,,Detroit Red Wings,3,1,W,,3,4,0,W 3,,28,10,1,3,0,,29,4,0,6,0,16839,2:25,
8,2015-10-23,9:00 PM,,Washington Capitals,4,7,L,,3,5,0,L 1,,23,8,1,6,0,,26,12,2,4,0,16839,2:28,
9,2015-10-25,9:30 PM,,Los Angeles Kings,2,3,L,,3,6,0,L 2,,28,9,1,2,0,,34,9,1,2,0,16839,2:27,
10,2015-10-27,8:00 PM,@,Minnesota Wild,3,4,L,,3,7,0,L 3,,25,4,0,1,0,,28,0,1,2,0,18936,2:23,
11,2015-10-29,9:00 PM,,Montreal Canadiens,4,3,W,,4,7,0,W 1,,27,6,1,4,0,,21,10,1,2,0,16839,2:37,
12,2015-10-31,10:00 PM,,Calgary Flames,4,5,L,,4,8,0,L 1,,23,8,2,4,0,,32,10,1,3,0,16839,2:39,
13,2015-11-03,9:00 PM,,Philadelphia Flyers,4,2,W,,5,8,0,W 1,,49,4,1,5,0,,22,10,0,2,0,16839,2:28,
