
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,8:00 PM,,Edmonton Oilers,3,1,W,,1,0,0,W 1,,31,13,0,3,0,,24,13,1,3,0,19327,2:25,
2,2015-10-10,8:00 PM,@,Minnesota Wild,2,3,L,,1,1,0,L 1,,32,10,1,3,0,,19,10,1,3,0,19096,2:27,
3,2015-10-13,9:00 PM,@,Calgary Flames,4,3,W,,2,1,0,W 1,,28,8,1,1,0,,18,2,1,4,0,18632,2:23,
4,2015-10-15,9:00 PM,@,Edmonton Oilers,4,2,W,,3,1,0,W 2,,29,10,1,4,0,,26,8,0,5,0,16839,2:27,
5,2015-10-16,10:00 PM,@,Vancouver Canucks,4,3,W,,4,1,0,W 3,,32,15,0,4,0,,34,13,0,5,1,18362,2:24,
6,2015-10-18,3:00 PM,@,Winnipeg Jets,4,2,W,,5,1,0,W 4,,41,20,1,6,0,,29,16,2,7,0,15294,3:28,
7,2015-10-20,7:30 PM,@,Montreal Canadiens,0,3,L,,5,2,0,L 1,,38,19,0,3,0,,36,11,0,2,0,21288,2:40,
8,2015-10-24,8:00 PM,,New York Islanders,2,3,L,OT,5,2,1,L 2,,40,6,0,5,0,,22,10,1,3,0,19186,2:31,
9,2015-10-27,8:00 PM,,Tampa Bay Lightning,2,0,W,,6,2,1,W 1,,24,2,0,3,0,,26,4,0,1,0,19184,2:24,
10,2015-10-29,8:00 PM,,Anaheim Ducks,2,1,W,,7,2,1,W 2,,34,15,0,5,0,,23,17,1,4,0,16904,2:30,
11,2015-10-31,8:00 PM,,Minnesota Wild,3,2,W,OT,8,2,1,W 3,,26,19,0,1,0,,31,13,0,5,0,17728,3:01,
12,2015-11-03,8:30 PM,,Los Angeles Kings,0,3,L,,8,3,1,L 1,,24,15,0,4,0,,34,13,1,5,0,17529,2:35,
13,2015-11-04,8:00 PM,@,Chicago Blackhawks,6,5,W,OT,9,3,1,W 1,,29,10,1,2,0,,43,4,1,5,0,21676,2:45,
