
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2015-10-08,9:00 PM,,Minnesota Wild,4,5,L,,0,1,0,L 1,,23,6,2,2,0,,30,6,1,2,0,18007,2:36,
2,2015-10-10,9:00 PM,,Dallas Stars,6,3,W,,1,1,0,W 1,,28,15,2,4,0,,33,13,1,4,0,16024,2:31,
3,2015-10-14,10:00 PM,,Boston Bruins,2,6,L,,1,2,0,L 1,,22,4,1,4,0,,25,8,0,2,0,15082,2:17,
4,2015-10-16,10:00 PM,@,Anaheim Ducks,3,0,W,,2,2,0,W 1,,25,14,0,2,0,,35,8,0,5,0,17174,2:29,
5,2015-10-18,10:00 PM,@,Los Angeles Kings,1,2,L,,2,3,0,L 1,,23,28,1,6,0,,40,32,0,4,0,18230,2:34,
6,2015-10-21,10:00 PM,,Carolina Hurricanes,0,1,L,OT,2,3,1,L 2,,26,10,0,4,0,,19,8,0,5,0,12826,2:24,
7,2015-10-24,9:00 PM,,Columbus Blue Jackets,3,4,L,,2,4,1,L 3,,34,15,1,6,0,,36,17,1,5,0,18007,2:30,
8,2015-10-27,7:30 PM,@,Florida Panthers,1,4,L,,2,5,1,L 4,,32,6,0,5,0,,28,10,3,3,1,11694,2:26,
9,2015-10-29,7:30 PM,@,Tampa Bay Lightning,2,1,W,,3,5,1,W 1,,26,8,0,6,0,,35,12,1,4,0,19092,2:28,
10,2015-10-30,7:00 PM,@,Carolina Hurricanes,2,3,L,,3,6,1,L 1,,32,8,0,3,0,,26,6,1,4,0,9345,2:22,
11,2015-11-01,3:00 PM,,San Jose Sharks,3,4,L,,3,7,1,L 2,,26,9,2,4,0,,32,13,0,1,1,17128,2:31,
12,2015-11-03,9:00 PM,,Calgary Flames,6,3,W,,4,7,1,W 1,,42,4,1,3,1,,25,4,0,2,0,14408,2:31,
13,2015-11-05,9:00 PM,@,Arizona Coyotes,2,4,L,,4,8,1,L 1,,28,12,0,5,0,,28,10,0,6,0,10270,2:37,
